body	query	htid	title	published	access	rights
640238bfc6cb7376-r		uva.x030444760	Army logistician, v.97		fulltext	Full View
640238bfc6cb7376-r		uiug.30112048646365	Customs bulletin : Treasury decisions under customs and other laws, v.34:1-13		fulltext	Full View
640238bfc6cb7376-r		uiug.30112005545535	Customs bulletin : Treasury decisions under customs and other laws, v.29:23-35		fulltext	Full View
640238bfc6cb7376-r		uiug.30112027343745	Customs bulletin : Treasury decisions under customs and other laws, v.29:36-41		fulltext	Full View
a479303933789ab1-r		mdp.39015006744372	Shops &amp; stores	1957	fulltext	Full View
a479303933789ab1-r		mdp.39015013246254	Baited bulletin boards : a handbook for teachers. Thomas Arthur Koskey	1954	fulltext	Full View
a479303933789ab1-r		coo.31924000491500	Food sales, unlimited [by] Paul L.H. Heine	1952	fulltext	Full View
a479303933789ab1-r		umn.31951d012180176	A prospectus for marine game fish research / Bureau of Sport Fisheries and Wildlife	1959	fulltext	Full View
a479303933789ab1-r		coo.31924061648733	[Radio broadcasts]., 1954	1954	fulltext	Full View
a479303933789ab1-r		coo.31924014498657	The first book of puppets. Pictures by Jean Michener	1952	fulltext	Full View
a479303933789ab1-r		coo.31924003551813	The consumer investigates, by A. B. Zu Tavern and A. E. Bullock	1954	fulltext	Full View
a479303933789ab1-r		mdp.39015008058508	Art of the young child : 3 to 5 years	1957	fulltext	Full View
a479303933789ab1-r		uc1.$b104290	The accounting process; a textbook covering the basic concepts, principles, and conventions of accounting as applied in enterprises operated for profit	1956	fulltext	Full View
a479303933789ab1-r		rul.39030017478886	Art of the young child : 3 to 5 years	1957	fulltext	Full View
a479303933789ab1-r		coo.31924013735927	Modern garden supply retailing	1954	fulltext	Full View
a479303933789ab1-r		mdp.39015077952839	A summary of a study of fifty unmarried Negro mothers in pending and active aid to dependent children cases in the Marion County Dept. of Public Welfare, Indian	1957	fulltext	Full View
a479303933789ab1-r		uc1.31822033824012	Taking it easy with your camera	1957	fulltext	Full View
a479303933789ab1-r		mdp.39015071522364	Lessons in pronunciation / by the research staff of the English Language Institute, Charles C. Fries, Director, v.3	1950	fulltext	Full View
a479303933789ab1-r		uc1.b3593670	Please excuse Johnny	1952	fulltext	Full View
a479303933789ab1-r		mdp.39015067897226	A study of fifty unmarried Negro mothers in pending and active Aid to Dependent Children cases in the Marion County Department of Public Welfare, Indianapolis, 	1957	fulltext	Full View
a479303933789ab1-r		mdp.39015062218154	Please excuse Johnny	1952	fulltext	Full View
a479303933789ab1-r		coo.31924055190866	Cornell countryman, v.55-56 1957/58-1958/59	1958	fulltext	Full View
a479303933789ab1-r		coo.31924014065233	How to mend china and bric-a-brac as a hobby [and] as a business, by Paul St. Gaudens and Arthur R. Jackson. Drawings by Jane Pitts	1953	fulltext	Full View
a479303933789ab1-r		mdp.39015002631888	New York: confidential! / By Jack Lait and Lee Mortimer	1951	fulltext	Full View
a479303933789ab1-r		wu.89065943649	Gresham Centennial, 1908-1958 : these hewed the way to civilization / [Walter and Elise Rockman Schmidt.]	1958	fulltext	Full View
a479303933789ab1-r		uc1.b3939366	Your library; how to organize an elementary school library, by Richard J. Hurley, for the Commission on American Citizenship	1956	fulltext	Full View
a479303933789ab1-r		coo.31924000781850	Cornell poultry pointers, v.1-5 1949-53	1953	fulltext	Full View
a479303933789ab1-r		mdp.39015033889422	Your library; how to organize an elementary school library	1956	fulltext	Full View
a479303933789ab1-r		uc1.32106017217735	Five lessons: the modern fundamentals of golf [by] Ben Hogan, with Herbert Warren Wind. Drawings by Anthony Ravielli	1957	fulltext	Full View
a479303933789ab1-r		uiug.30112121379231	Amending the Fair Labor Standards Act of 1938 : hearings before the Subcommittee on Labor ... Eighty-fourth Congress, second session, on S. 662, a bill to amend	1956	fulltext	Full View
a479303933789ab1-r		coo.31924013884873	Retailing, basic principles, by Pearce C. Kelley [and] Norris B. Brisco	1957	fulltext	Full View
a479303933789ab1-r		umn.31951d02113071o	Amending the Fair Labor Standards Act of 1938 : hearings before the United States Senate Committee on Labor and Public Welfare, Subcommittee on Labor, Eighty-Fo	1956	fulltext	Full View
a479303933789ab1-r		coo.31924065125506	Homemakers' radio news, 1956	1956	fulltext	Full View
a479303933789ab1-r		uc1.b3157614	Retailing : principles and methods / Delbert J. Duncan and Charles F. Phillips	1959	fulltext	Full View
a479303933789ab1-r		coo.31924013885920	Retailing: principles and methods [by] Delbert J. Duncan and Charles F. Phillips	1955	fulltext	Full View
a479303933789ab1-r		mdp.39015058019434	City in the forest ; the story of Lansing	1950	fulltext	Full View
a479303933789ab1-r		coo.31924013885250	Your business; a handbook of management aids for the New York businessman	1950	fulltext	Full View
a479303933789ab1-r		mdp.39015027866089	The community builders handbook, 1954	1954	fulltext	Full View
a479303933789ab1-r		osu.32435051554558	Report, 1950 1950	1950	fulltext	Full View
a479303933789ab1-r		coo.31924013885615	Make money at home	1952	fulltext	Full View
a479303933789ab1-r		mdp.39015001132961	Voice in the wilderness / by Eugene Henry Huffman	1959	fulltext	Full View
a479303933789ab1-r		wu.89033936121	The community builders handbook	1954	fulltext	Full View
a479303933789ab1-r		rul.39030018165201	The community builders handbook	1954	fulltext	Full View
a479303933789ab1-r		pst.000060089212	Traffic quarterly, v.12 1958	1958	fulltext	Full View
a479303933789ab1-r		mdp.39015021323277	Traffic quarterly, v.12 1958	1958	fulltext	Full View
a479303933789ab1-r		mdp.39015073347851	How to get that part time job	1958	fulltext	Full View
a479303933789ab1-r		mdp.39015048677606	Orally speaking, a brief history of dentistry and the part the M. F. Patterson Dental Supply Co. has played in it throughout the greater part of the West during	1957	fulltext	Full View
a479303933789ab1-r		uc1.$b3473	Traffic quarterly, v.12 (1958)	1958	fulltext	Full View
a479303933789ab1-r		coo.31924019133762	The complete book of roses	1956	fulltext	Full View
a479303933789ab1-r		mdp.39015013096873	An intensive course in English, v.3	1959	fulltext	Full View
a479303933789ab1-r		uiug.30112106758128	Monthly newsletter / the Bureau of Supplies and Accounts, Navy Department, v.22 (1959)	1959	fulltext	Full View
a479303933789ab1-r		mdp.39015019961039	English pronunciation; exercises in sound segments, intonation, and rhythm / by the Research Staff of the English Language Institute, Charles C. Fries, director	1954	fulltext	Full View
a479303933789ab1-r		mdp.39015071306529	Detroit, an industrial miracle / by George W. Stark	1951	fulltext	Full View
a479303933789ab1-r		mdp.39015071522372	English pronunciation; exercises in sound segments, intonation, and rhythm / by the Research Staff of the English Language Institute, Charles C. Fries, director	1954	fulltext	Full View
a479303933789ab1-r		mdp.39015006802105	Shaping America's products	1956	fulltext	Full View
a479303933789ab1-r		mdp.35128001854924	Cotton manufacturing in the Southeast: an historical analysis, no. 5	1959	fulltext	Full View
a479303933789ab1-r		mdp.39015008418033	Shaping America's products	1956	fulltext	Full View
a479303933789ab1-r		mdp.39015005550390	Workingman's wife ; her personality, world, and life style / by Lee Rainwater, Richard P. Coleman [and] Gerald Handel. Pref. by W. Lloyd Warner. Introd. by Burl	1959	fulltext	Full View
a479303933789ab1-r		uc1.b3462155	Pay the two dollars; or, How to stay out of court and what to do when you get there. Drawings by Paul Coker	1957	fulltext	Full View
a479303933789ab1-r		uva.x001707011	Workingman's wife ; her personality, world, and life style / by Lee Rainwater, Richard P. Coleman [and] Gerald Handel. Pref. by W. Lloyd Warner. Introd. by Burl	1959	fulltext	Full View
a479303933789ab1-r		uc1.b3973120	Workingman's wife ; her personality, world, and life style / by Lee Rainwater, Richard P. Coleman [and] Gerald Handel. Pref. by W. Lloyd Warner. Introd. by Burl	1959	fulltext	Full View
a479303933789ab1-r		mdp.39015016414768	The hit, a novel	1957	fulltext	Full View
a479303933789ab1-r		inu.32000007491527	American economic history [by] Donald L. Kemmerer [and] C. Clyde Jones	1959	fulltext	Full View
a479303933789ab1-r		wu.89031143217	Workingman's wife ; her personality, world, and life style / by Lee Rainwater, Richard P. Coleman [and] Gerald Handel. Pref. by W. Lloyd Warner. Introd. by Burl	1959	fulltext	Full View
a479303933789ab1-r		uc1.b3632377	Modern marketing: dynamics and management	1955	fulltext	Full View
a479303933789ab1-r		mdp.39015054100832	Workingman's wife ; her personality, world, and life style / by Lee Rainwater, Richard P. Coleman [and] Gerald Handel. Pref. by W. Lloyd Warner. Introd. by Burl	1959	fulltext	Full View
a479303933789ab1-r		uc1.b4098622	Let's face it; a guide to good grooming for Negro girls. With decorations by Harper Johnson	1959	fulltext	Full View
a479303933789ab1-r		mdp.39015028083734	Workingman's wife ; her personality, world, and life style / by Lee Rainwater, Richard P. Coleman [and] Gerald Handel. Pref. by W. Lloyd Warner. Introd. by Burl	1959	fulltext	Full View
a479303933789ab1-r		uc1.b3687985	Anatomy of me; a wonderer in search of herself	1958	fulltext	Full View
a479303933789ab1-r		osu.32435069594752	Two miles north : a historical novel / Sponsored by the Women's Auxiliary of Decatur and Macon County Hospital	1958	fulltext	Full View
a479303933789ab1-r		mdp.39015025344691	Anatomy of me; a wonderer in search of herself	1958	fulltext	Full View
a479303933789ab1-r		mdp.39015024844493	The modal personality structure of the Tuscarora Indians as revealed by the Rorschach test	1952	fulltext	Full View
a479303933789ab1-r		uc1.$b102974	Anatomy of me; a wonderer in search of herself	1958	fulltext	Full View
a479303933789ab1-r		mdp.39015006985785	A multitude of men : a novel / by William Dale Smith	1959	fulltext	Full View
a479303933789ab1-r		mdp.39015015793691	Contemporary American painting and sculpture. [Catalog]., 1952	1952	fulltext	Full View
a479303933789ab1-r		uc1.$b105518	A multitude of men : a novel / by William Dale Smith	1959	fulltext	Full View
a479303933789ab1-r		mdp.39015064382768	Sixty miles north; saga of a country schoolteacher	1953	fulltext	Full View
a479303933789ab1-r		uiug.30112119745500	Prohibiting lithographing or engraving on envelopes sold by the Post Office Department, and for other purposes : hearings before the Committee on Post Office an	1953	fulltext	Full View
a479303933789ab1-r		mdp.39015081138979	Getting acquainted with minerals [by] George Letchworth English [and] David E. Jensen	1958	fulltext	Full View
a479303933789ab1-r		uc1.b5043346	Getting acquainted with minerals [by] George Letchworth English [and] David E. Jensen	1958	fulltext	Full View
a479303933789ab1-r		uc1.31822013383278	Getting acquainted with minerals [by] George Letchworth English [and] David E. Jensen	1958	fulltext	Full View
a479303933789ab1-r		coo.31924003529868	Exploring home and family living / Henrietta Fleck, Louise Fernandez, Elizabeth Munves	1959	fulltext	Full View
a479303933789ab1-r		uc1.$b75796	Making inventions pay : a practical guide to selling, protecting, manufacturing, and marketing your inventions / by Joseph C. Keeley	1950	fulltext	Full View
a479303933789ab1-r		coo.31924000364582	Growing cotton	1957	fulltext	Full View
a479303933789ab1-r		uc1.$b194284	The family scrapbook	1951	fulltext	Full View
a479303933789ab1-r		mdp.39015062207975	Industrial arts in general education	1954	fulltext	Full View
a479303933789ab1-r		mdp.39015031054391	Making inventions pay : a practical guide to selling, protecting, manufacturing, and marketing your inventions / by Joseph C. Keeley	1950	fulltext	Full View
a479303933789ab1-r		mdp.39015028110602	The family scrapbook	1951	fulltext	Full View
a479303933789ab1-r		mdp.49015001090274	Marketing policies / by Hugh E. Agnew and Dale Houghton	1951	fulltext	Full View
a479303933789ab1-r		uiuo.ark:/13960/t81k0g01f	Two miles north : a historical novel / Sponsored by the Women's Auxiliary of Decatur and Macon County Hospital	1958	fulltext	Full View
a479303933789ab1-r		wu.89046868360	How to control production costs. Foreword by Bruce Wallace	1953	fulltext	Full View
a479303933789ab1-r		mdp.49015001335018	Principles of real estate management	1957	fulltext	Full View
a479303933789ab1-r		uc1.$b89459	How to control production costs. Foreword by Bruce Wallace	1953	fulltext	Full View
a479303933789ab1-r		uc1.$b86961	How to control production costs	1953	fulltext	Full View
a479303933789ab1-r		osu.32437122536770	Administered prices. Hearings before the Subcommittee on Antitrust and Monopoly of the Committee on the Judiciary, United States Senate, Eighty-fifth Congress, 		fulltext	Full View
a479303933789ab1-r		uc1.b4404977	Here today ...	1959	fulltext	Full View
a479303933789ab1-r		uva.x004539127	Here today ...	1959	fulltext	Full View
a479303933789ab1-r		uc1.b3972992	Parent and child; studies in family behavior	1953	fulltext	Full View
a479303933789ab1-r		mdp.39015023109948	Essentials of industrial management	1959	fulltext	Full View
a479303933789ab1-r		nyp.33433109955090	Gas appliance merchandising, v. 26 (1954)	1954	fulltext	Full View
a479303933789ab1-r		osu.32435021631924	Baileya, v.17-18		fulltext	Full View
a479303933789ab1-r		uc1.$b231829	Library trends, v.7		fulltext	Full View
a479303933789ab1-r		mdp.39015024068119	Library trends, v.7 1958-1959	1959	fulltext	Full View
a479303933789ab1-r		mdp.39015024068135	Library trends, v.7 1958-1959	1959	fulltext	Full View
b26025e17b94bafb-r		pst.000023489691	The impact of discount superstores on small business and local communities : hearing before the Committee on Small Business, House of Representatives, One Hundr	1995	fulltext	Full View
b26025e17b94bafb-r		pur1.32754078649484	Ice in the Ozarks : the methamphetamine epidemic in Arkansas : hearing before the Subcommittee on Criminal Justice, Drug Policy and Human Resources of the Commi	2004	fulltext	Full View
b26025e17b94bafb-r		pst.000033207582	Supercenters : the emerging force in food retailing / Gene A. German, Gerard F. Hawkes, Debra J. Perosio	1993	fulltext	Full View
b26025e17b94bafb-r		pst.000066747901	Energy efficiency in buildings hearing before the Committee on Energy and Natural Resources, United States Senate, One Hundred Eleventh Congress, first session,	2009	fulltext	Full View
b26025e17b94bafb-r		pst.000058948408	Examining the impact of State mandates on employer provided health insurance : hearing before the Subcommittee on Employer-Employee Relations of the Committee o	2006	fulltext	Full View
b26025e17b94bafb-r		coo.31924092403850	A review of selected e-recruiting websites : disability accessibility considerations / William A. Erickson	2002	fulltext	Full View
b26025e17b94bafb-r		pst.000058938614	Freight logistics : the road ahead as seen by the users of the highway system : hearing before the Subcommittee on Highways, Transit, and Pipelines of the Commi	2007	fulltext	Full View
b26025e17b94bafb-r		pur1.32754066656566	Rental housing development and HOME : four case studies	1996	fulltext	Full View
b26025e17b94bafb-r		pst.000058792803	Hurricane Katrina : what can the government learn from the private sector's response? : hearing before the Committee on Homeland Security and Governmental Affai	2006	fulltext	Full View
b26025e17b94bafb-r		mdp.39015040659511	Rental housing development and HOME : four case studies	1996	fulltext	Full View
b26025e17b94bafb-r		uc1.31210024952333	Rental housing development and HOME : four case studies	1996	fulltext	Full View
b26025e17b94bafb-r		pur1.32754069572240	Threat to rural communities from methamphetamine production, trafficking, and use : hearing before the Subcommittee on Crime of the Committee on the Judiciary, 	2000	fulltext	Full View
b26025e17b94bafb-r		uc1.$b389883	The role of standards in the growth of global electronic commerce : hearing before the Subcommittee on Science, Technology, and Space of the Committee on Commer	2002	fulltext	Full View
b26025e17b94bafb-r		pur1.32754077096364	H.R. 1119, the Family Time Flexibility Act : hearing before the Subcommittee on Workforce Protections of the Committee on Education and the Workforce, House of 	2003	fulltext	Full View
b26025e17b94bafb-r		uc1.31175032267562	Data book, operating banks and branches, 1996 v.4	1996	fulltext	Full View
b26025e17b94bafb-r		pst.000058937358	ILC's--a review of charter, ownership, and supervision issues : hearing before the Subcommittee on Financial Institutions and Consumer Credit of the Committee o	2007	fulltext	Full View
b26025e17b94bafb-r		mdp.39015090417810	The role of the Extraterritorial Income Exclusion Act in the international competitiveness of U.S. companies : hearing before the Committee on Finance, United S	2002	fulltext	Full View
b26025e17b94bafb-r		pur1.32754077068793	DOD financial management : following one item through the maze : hearing before the Subcommittee on National Security, Veterans Affairs and International Relati	2003	fulltext	Full View
b26025e17b94bafb-r		ien.35556030088157	Northwest Arkansas Regional Airport, Replacement for Drake Field, City of Fayetteville : environmental impact statement, Fapp:v.2	1994	fulltext	Full View
b26025e17b94bafb-r		pur1.32754076925399	The role of the Extraterritorial Income Exclusion Act in the international competitiveness of U.S. companies : hearing before the Committee on Finance, United S	2002	fulltext	Full View
b26025e17b94bafb-r		ien.35556030088124	Northwest Arkansas Regional Airport, Replacement for Drake Field, City of Fayetteville : environmental impact statement, Dapp:v.2	1994	fulltext	Full View
b26025e17b94bafb-r		pst.000061493803	Energy efficiency of buildings : hearing before the Subcommittee on Energy of the Committee on Energy and Natural Resources, United States Senate, One Hundred T	2007	fulltext	Full View
b26025e17b94bafb-r		pst.000049658125	Employee and employer views on retirement security : hearing before the Subcommittee on Oversight of the Committee on Ways and Means, House of Representatives, 	2002	fulltext	Full View
b26025e17b94bafb-r		ien.35556030088140	Northwest Arkansas Regional Airport, Replacement for Drake Field, City of Fayetteville : environmental impact statement, Fapp:v.1	1994	fulltext	Full View
b26025e17b94bafb-r		pst.000049665642	Challenges and achievements of the Sacagawea golden dollar program : hearing before a subcommittee of the Committee on Appropriations, United States Senate, One	2002	fulltext	Full View
b26025e17b94bafb-r		uc1.c105179671	Get smart on the smart grid : how technology can revolutionize efficiency and renewable solutions : hearing before the Select Committee on Energy Independence a	2010	fulltext	Full View
b26025e17b94bafb-r		uc1.b5104797	Challenges and achievements of the Sacagawea golden dollar program : hearing before a subcommittee of the Committee on Appropriations, United States Senate, One	2002	fulltext	Full View
b26025e17b94bafb-r		mdp.39015085135906	Data book, operating banks and branches, 1996 no.4-5	1996	fulltext	Full View
b26025e17b94bafb-r		ien.35556030088108	Northwest Arkansas Regional Airport, Replacement for Drake Field, City of Fayetteville : environmental impact statement, D	1994	fulltext	Full View
b26025e17b94bafb-r		pst.000019268514	Consumer protection against price-fixing : hearing before the Subcommittee on Antitrust, Monopolies, and Business Rights of the Committee on the Judiciary, Unit	1992	fulltext	Full View
b26025e17b94bafb-r		uiug.30112105161902	Quartermaster professional bulletin, Summer 1996	1996	fulltext	Full View
b26025e17b94bafb-r		uc1.31822016780777	The impact of the North American Free Trade Agreement on Arkansas / prepared for the U.S. Council of the Mexico-U.S. Business Committee by the Trade Partnership	1992	fulltext	Full View
b26025e17b94bafb-r		ien.35556030096804	US-71 Transportation Improvements, from south of Bella Vista to Pineville (AR,MI) : environmental impact statement, D	1999	fulltext	Full View
b26025e17b94bafb-r		uc1.c045217971	Confirmation hearings on federal appointments : hearings before the Committee on the Judiciary, United States Senate, One Hundred Second Congress, first session	1993	fulltext	Full View
b26025e17b94bafb-r		umn.31951d021816099	Mandatory country of origin labeling : hearing before the Committee on Agriculture, House of Representatives, One Hundred Eighth Congress, first session, June 2	2003	fulltext	Full View
b26025e17b94bafb-r		pst.000023037168	Field hearing : roundtable discussion on the economy of southern Indiana : hearing before the Joint Economic Committee, Congress of the United States, One Hundr	1994	fulltext	Full View
b26025e17b94bafb-r		uc1.31175032267976	Data book, operating banks and branches, 1995 v.4	1995	fulltext	Full View
b26025e17b94bafb-r		umn.31951d03587256m	Oversight of the digital television transition : hearing before the Subcommittee on Communications, Technology, and the Internet of the Committee on Energy and 	2012	fulltext	Full View
b26025e17b94bafb-r		pur1.32754075292882	Confirmation hearings on federal appointments : hearings before the Committee on the Judiciary, United States Senate, One Hundred Second Congress, first session	1993	fulltext	Full View
b26025e17b94bafb-r		umn.31951d035364589	Energy efficiency technologies and programs : hearing before the Subcommittee on Science, Technology, and Innovation of the Committee on Commerce, Science, and 	2012	fulltext	Full View
b26025e17b94bafb-r		pst.000020337377	Confirmation hearings on federal appointments : hearings before the Committee on the Judiciary, United States Senate, One Hundred Second Congress, first session	1993	fulltext	Full View
b26025e17b94bafb-r		cub.u183048527371	China and the future of globalization : hearings before the U.S.-China Economic and Security Review Commission, One Hundred Ninth Congress, first session, May 1	2005	fulltext	Full View
b26025e17b94bafb-r		pur1.32754062805829	Removing regulatory barriers to affordable housing : how states and localities are moving ahead	1992	fulltext	Full View
b26025e17b94bafb-r		pst.000058948934	Climate change : understanding the degree of the problem : hearing before the Committee on Government Reform, House of Representatives, One Hundred Ninth Congre	2006	fulltext	Full View
b26025e17b94bafb-r		uiug.30112105189622	America 2000, 1992: no. 15 - 43	1992	fulltext	Full View
b26025e17b94bafb-r		ien.35556030088132	Northwest Arkansas Regional Airport, Replacement for Drake Field, City of Fayetteville : environmental impact statement, F	1994	fulltext	Full View
b26025e17b94bafb-r		mdp.39015029096867	Removing regulatory barriers to affordable housing : how states and localities are moving ahead	1992	fulltext	Full View
b26025e17b94bafb-r		umn.31951d021868830	China and the future of globalization : hearings before the U.S.-China Economic and Security Review Commission, One Hundred Ninth Congress, first session, May 1	2005	fulltext	Full View
b26025e17b94bafb-r		pur1.32754078878059	Uniformed Services Employment and Reemployment Rights Act : hearing before the Subcommittee on Benefits of the Committee on Veterans' Affairs, House of Represen	2005	fulltext	Full View
b26025e17b94bafb-r		ien.35556031858525	US-71 Transportation Improvements, from south of Bella Vista to Pineville (AR,MI) : environmental impact statement, F	1999	fulltext	Full View
b26025e17b94bafb-r		pst.000058949351	Violent and explicit video games : informing parents and protecting children : hearing before the Subcommittee on Commerce, Trade, and Consumer Protection of th	2006	fulltext	Full View
b26025e17b94bafb-r		mdp.39015040148077	By the sweat and toil of children : a report to the committees on appropriations, United States Congress / Bureau of International Labor Affairs, U.S. Departmen		fulltext	Full View
b26025e17b94bafb-r		uiug.30112105161787	Quartermaster professional bulletin, Spring 1993	1993	fulltext	Full View
b26025e17b94bafb-r		nyp.33433034332076	By the sweat and toil of children : a report to the committees on appropriations, United States Congress / Bureau of International Labor Affairs, U.S. Departmen		fulltext	Full View
b26025e17b94bafb-r		uiug.30112104434870	Reauthorization of U.S. child nutrition programs : opportunities to fight hunger and improve child health : hearing before the Committee on Agriculture, Nutriti	2011	fulltext	Full View
b26025e17b94bafb-r		nnc1.cu14300141	By the sweat and toil of children : the use of child labor in American imports : a report to the committees on appropriations, United States Congress / Bureau o	1994	fulltext	Full View
b26025e17b94bafb-r		pur1.32754071072098	By the sweat and toil of children : a report to the committees on appropriations, United States Congress / Bureau of International Labor Affairs, U.S. Departmen		fulltext	Full View
b26025e17b94bafb-r		uiug.30112105161688	Quartermaster professional bulletin, Autumn 1990	1990	fulltext	Full View
