company,stage,date,metric,value,unit,source,source_date,evidence_class,confidence,derived_arithmetic,notes
Walmart,stage1,FY1974,Net sales,167560892,USD,S0103,1974-03-21,FACT,High,,"CONTEMPORANEOUS: FY1974 report Five Year Progress Report; supersedes A2's rounded $167,561,000 taken from the FY1976 report"
Walmart,stage1,FY1974,Income before income taxes,11883754,USD,S0103,1974-03-21,FACT,High,,"CONTEMPORANEOUS; A2 carried 11,884k from the FY1976 report"
Walmart,stage1,FY1974,Net income (pro forma),6158520,USD,S0103,1974-03-21,FACT,High,,CONTEMPORANEOUS; company's own label is 'pro forma' and A3 keeps it
Walmart,stage1,FY1974,Net income per share,0.93,USD/share,S0103,1974-03-21,FACT,High,,pre-split basis; divide by 2 for the FY1977/FY1978 print (split effective 1975-08-19)
Walmart,stage1,FY1974,Stores in operation at end of period,78,stores,S0103,1974-03-21,FACT,High,,CONTEMPORANEOUS
Walmart,stage1,FY1974,Inventories,41470471,USD,S0103,1974-03-21,FACT,High,,"Note 2: stores 33,713,932 + distribution centre 7,756,539; FIFO/retail-method basis — pre-dates the FY1975 LIFO change"
Walmart,stage1,FY1974,Stockholders' equity,30734128,USD,S0103,1974-03-21,FACT,High,,"CONTEMPORANEOUS exact dollars; replaces A2's 30,734k from FY1976"
Walmart,stage1,FY1974,Number of shares outstanding,6542250,shares,S0103,1974-03-21,FACT,High,,CONTEMPORANEOUS
Walmart,stage1,FY1974,New store space added,881630,square feet,S0103,1974-03-21,FACT,High,,20 new stores opened and 6 closed in FY1974; no total square footage is printed for FY1974
Walmart,stage1,FY1974,Employees,4500,people,S0103,1974-03-21,FACT,Medium,,chart label in the 'NUMBER OF EMPLOYEES' block; round figure; full/part-time composition UNKNOWN
Walmart,stage1,FY1975,Net sales,236209,USD thousands,S0104,1975-03-28,ESTIMATE/DERIVED,Medium-High,(5855+6353)+1800+48088+176591-2478 = 236209,"FY1975's own printed top line is ABSENT from the text layer; derived by inverting the same table's five printed rows; U-A3/1 records the 226,209 vs 236,209 ambiguity; page image UNTRIED"
Walmart,stage1,FY1975,Net income,6353,USD thousands,S0104,1975-03-28,FACT,High,,"CONTEMPORANEOUS, asterisked in the original for the LIFO year; SFAS-13 restated value 5995 (S0108)"
