company,stage,conflict_id,section,claim_a,claim_a_source,claim_a_date,claim_b,claim_b_source,claim_b_date,why_they_differ,evidence_weight,best_supported_interpretation,residual_uncertainty,confidence
Walmart,stage1,U-A3/1,P; A3 §3.4,"FY1975 net sales = $236,209 thousand",WALMART_AR_1977/1978/1979 reports and the inversion of WALMART_AR_1975.txt's own five rows,1977-04-01,"FY1975 net sales = $226,209 thousand",WALMART_AR_1976.txt five-year table text layer,1976-03-26,"OCR of a 2/3 digit in a stacked numeric column, plus the FY1975 top-line cell being absent from its own text layer — a machine failure, not a company one","four printings for A against one for B, and B disagrees with a fifth witness (the FY1975 report's own row identity)","$236,209 thousand",the contemporaneous PRINTED top line has never been read off a printed page; the FY1975 _text.pdf is UNTRIED,Medium-High
Walmart,stage1,U-A3/2,P; A3 §3.8,"FY1970 net income = $1,187,764 (pro forma)",WALMART_AR_1972/1973/1974 reports,1974-03-21,"FY1970 net income = 1,011 thousand",WALMART_AR_1978.txt Nine-Year Summary FY1970 column,1978-04-14,"unknown — and the FY1978 table is internally inconsistent: its own rows give pre-tax 2,199 (matching claim A's $2,198,764) and taxes 960, which require net income 1,239","three documents for A, one for B, and B disagrees with itself","$1,187,764 stays the register value; the FY1978 FY1970 net-income cell is marked SUSPECT, not corrected","whether 1,011 is an OCR mis-read or a genuine second (actual vs pro forma) basis cannot be told without the FY1978 page image, UNTRIED",Medium for A / Low for B
Walmart,stage1,U-A3/3,P; A3 Table S3,"FY1973 shares outstanding = 6,512,950",WALMART_AR_1974.txt balance-sheet block,1974-03-21,"FY1973 shares outstanding = 6,512,550",WALMART_AR_1973.txt L103-108 as read by A2,1973-03-20,"one digit (9 vs 5) in a typewritten statement, or a genuine restatement of a year-end count between the two documents",one printing each,neither; record both and forbid quoting a single FY1973 count at High,immaterial to every ratio in §5.6 (400 shares in 6.5m); page images of both reports UNTRIED,Medium
Walmart,stage1,U-A3/4,P; A3 Tables S1/S3; §5.5,"FY1977 pre-tax 31,833 and net income 16,546; FY1978 42,186 and 21,886",WALMART_AR_1977.txt and WALMART_AR_1978.txt own tables,1978-04-14,"FY1977 pre-tax 30,857 and net income 16,039; FY1978 40,847 and 21,191",WALMART_AR_1979.txt Five-Year Financial Review; repeated in WALMART_AR_1980.txt ten-year table,1979-04-06,"SFAS 13 (Accounting for Leases) applied retroactively with the auditor's concurrence — a documented accounting change, not an error","both Tier-1, both dated, both complete","both, for different purposes: A for 'what the company reported at the time', B for comparison with FY1979/FY1980","A2 printed B's values inside a row titled 'as printed' at High, so A2's own EPS and margin steps cannot be attributed to a basis",High
Walmart,stage1,U-A3/5,P; A3 §5.5,"The FY1978 SFAS-13 restatement 'reduced net earnings $769,000, or 5 cents per share'",WALMART_AR_1979.txt Management's Analysis,1979-04-06,"The FY1978 restatement reduced net earnings by $695,000","WALMART_AR_1979.txt income statement and retained-earnings bridge (2,461,000 minus 1,766,000; 21,886 minus 21,191)",1979-04-06,"unknown — a pre-publication figure surviving in prose, or a different measure than net income; no reconciling line exists",two independent arithmetic paths inside the same document give 695; the prose gives 769; the '5 cents' fits either at ~15m shares,695 for the income-statement effect; 769 recorded as the company's own stated number and not retracted,"$74,000, i.e. 0.3% of FY1978 net income, unreconciled INSIDE one audited document",High
Walmart,stage1,U-A3/6,P; A3 Table S4,"FY1978 total assets = $206,691 thousand",WALMART_AR_1978.txt Nine-Year Summary,1978-04-14,"FY1978 total assets = $251,865 thousand",WALMART_AR_1979.txt comparative balance sheet,1979-04-06,"SFAS-13 lease capitalisation brought lease assets and liabilities on to the balance sheet: +45,174 assets against +48,099 of capital-lease obligations, with equity falling only 2,461",both are Tier-1 statements of the same date by the same firm; B has the later recognition rule behind it,"B for comparison with FY1979/FY1980, A for comparison with FY1970-FY1977; THE ASSET SERIES IS BROKEN AND IS PRINTED BROKEN","A2's Total assets row mixed the bases silently, so any A2-derived asset growth or turn across 1978/1979 is invalid",High
Walmart,stage1,U-A3/7,P; §5.5,FY1974/FY1975/FY1976 expense structure 21.1% / 20.5% / 20.8% of sales,WALMART_AR_1977.txt Chairman's Message,1977-04-01,operating + S&G + administrative expense ÷ net sales = 19.72% / 20.36% / 20.01% / 20.43% for FY1974-FY1977,WALMART_AR_1977.txt Eight-Year Summary (same document),1977-04-01,"the letter's denominator is unstated and its fiscal-year labels appear to run by STARTING calendar year (its gross-margin '+.2%' matches FY1976→FY1977); even remapped, 20.8% exceeds the computed 20.43%",the table is auditable arithmetic on printed rows; the letter is management prose with an unstated base,none — the letter's series is recorded as STATED-BUT-NOT-RECONCILABLE and EXCLUDED from §5.5,"whether 'total expense structure' includes interest, pre-opening costs or leases; the document does not say. DENOMINATOR NOT STATED ⇒ UNKNOWN",High (that it does not reconcile) / UNKNOWN (what it measures)
Walmart,stage1,U-A3/8,C; D,Rogers Arkansas population at the November 1962 opening was 'approximately 4700',WALMART_AR_1975.txt company profile,1975-03-28,"… 'approximately 5,000 people'",WALMART_AR_1978.txt founding narrative,1978-04-14,"rounding of the same census figure, or a different informal source","equal; one lineage, three years apart","'approximately 4,700-5,000 per the company's own two statements'",no census record in this corpus; the 1962 opening still has no witness outside the registrant,Medium (as a range) / Low (as a fact)
Walmart,stage1,U-A3/9,P; A3-012,"FY1977 long-term debt = 23,245 thousand (one line)",WALMART_AR_1977.txt Eight-Year Summary,1977-04-01,"FY1977 long-term debt = 19,158 plus capital-lease obligations 4,087 (two lines)",WALMART_AR_1978.txt Nine-Year Summary,1978-04-14,"presentation change: the FY1978 report split out the capital-lease component of the same total (19,158 + 4,087 = 23,245, exact)",both Tier-1 and self-consistent,"both, labelled; leverage for one date is 0.351 or 0.289 depending on which print is used",whether FY1977's single line was a presentation shortcut or a different classification standard; no document says,High
Walmart,stage1,U-A4/1,T; A4 §Contradictions,Grayson-Robinson cash-bind story printed at p.109 (Aug.18 1962),sim_business-week_1962_index layer lines 38668 and 49785,1962-08-18,Same story printed at p.169,sim_business-week_1962_index DISCOUNT Houses block line 45113,1962-08-18,SIM microfilm OCR reflows and duplicates the same alphabetical block 2-5x with different truncated left margins; the leading 1 is either a page digit or an absorbed margin artefact,two printings for A and one for B but all from one machine pass on one volume — not two witnesses,p.109 by majority of printings with p.169 printed beside it and never erased,"the 1962 issue scan is not on this route, so no page image is reachable and the question cannot be closed by anything currently available",Medium for A; Low for B
