source_id,stage,claim_supported,source_title,author_or_publication,source_type,primary_or_secondary,event_date,publication_date,access_date,url,archived_url,tier,evidence_class,confidence,independence_note,relevant_passage,notes
S0101,stage1,FY1972 statements and the FY1968-FY1972 five-year summary,"Wal-Mart Stores, Inc. Annual Report, fiscal year ended January 31, 1972",Wal-Mart Stores Inc.; Arthur Young & Company,printed registrant annual report,primary,1972-01-31,1972-03-22,2026-09-24,https://archive.org/details/1972-annual-report-for-walmart-stores-inc,sources/periodicals/WALMART_AR_1972.txt,1,FACT,High,one of nine documents in the same registrant lineage,"5 YEAR FINANCIAL SUMMARY OPERATING RESULTS .._ YEARS ENDED JANUARY 31 Sales $78,014,164 $44,286,012 $30,862,659 $21,365,081 $12,618,754",earliest document physically present in the corpus; its opinion names 'the year then ended' only
S0102,stage1,FY1973 statements and comparatives,"Wal-Mart Stores, Inc. Annual Report, fiscal year ended January 31, 1973",Wal-Mart Stores Inc.; Arthur Young & Company,printed registrant annual report,primary,1973-01-31,1973-03-20,2026-09-24,https://archive.org/details/1973-annual-report-for-walmart-stores-inc,sources/periodicals/WALMART_AR_1973.txt,1,FACT,High,same lineage as S0101,,"carries FY1972's legible cost of sales $58,591,379 which A2 needed to derive the FY1972 margin"
S0103,stage1,"FY1974 contemporaneous money, shares, equity, inventories, store additions, NYSE listing","Wal-Mart Stores, Inc. Annual Report, fiscal year ended January 31, 1974",Wal-Mart Stores Inc.; Arthur Young & Company,printed registrant annual report,primary,1974-01-31,1974-03-21,2026-09-24,https://archive.org/details/1974-annual-report-for-walmart-stores-inc,sources/periodicals/WALMART_AR_1974.txt,1,FACT,High,same lineage as S0101,"Net Sales $30,862,659 $44,286,012 $78,014,164 $124,889,141 $167,560,892","NEW to A3; complete scan; five-year table fully legible; AUDITED STATEMENT PAGES interleave and drop cells — take FY1974 money from the five-year table, not the statement rows; SHA-256 e0781cac…90a06"
S0104,stage1,"FY1975 earnings, expense rows, headcount, store fleet, DC capacity, LIFO break, 1945/1962 narrative","Wal-Mart Stores, Inc. Annual Report, fiscal year ended January 31, 1975",Wal-Mart Stores Inc.; Arthur Young & Company,printed registrant annual report,primary,1975-01-31,1975-03-28,2026-09-24,https://archive.org/details/1975-annual-report-for-walmart-stores-inc,sources/periodicals/WALMART_AR_1975.txt,1,FACT,Medium-High,same lineage as S0101,"The change resulted in a decrease in earnings of $2.3 million, or $.36 per share, for fiscal 1975","NEW to A3; WORST of the five for current-year money: FY1975's own column numerals dropped on every audited statement page; net sales, total assets and equity NOT recoverable from the text layer; SHA-256 79b8603b…31189c"
S0105,stage1,FY1976 statements and the ten-year/summary comparatives,"Wal-Mart Stores, Inc. Annual Report, fiscal year ended January 31, 1976",Wal-Mart Stores Inc.; Arthur Young & Company,printed registrant annual report,primary,1976-01-31,1976-03-26,2026-09-24,https://archive.org/details/1976-annual-report-for-walmart-stores-inc,sources/periodicals/WALMART_AR_1976.txt,1,FACT,High,same lineage as S0101,"Common stock outstanding was increased 6,687,789 shares by a two-for-one stock split effective August 19. 1975",source of the corrected split date (COR-A3-07); its employee and square-footage charts are OCR-damaged
S0106,stage1,"FY1977 contemporaneous income, balance sheet, dividends, stores, total and DC square footage, headcount, 1945/1946/1962 narrative","Wal-Mart Stores, Inc. Annual Report, fiscal year ended January 31, 1977",Wal-Mart Stores Inc.; Arthur Young & Company,printed registrant annual report,primary,1977-01-31,1977-04-01,2026-09-24,https://archive.org/details/1977-annual-report-for-walmart-stores-inc,sources/periodicals/WALMART_AR_1977.txt,1,FACT,High,same lineage as S0101,"Until 1962, the Company's business was devoted to the operation of variety stores.","NEW to A3; complete scan; text layer complete but COLUMN-MAJOR REFLOW — pair labels to values by position within the year block, never by adjacency; SHA-256 f398a40d…ba500"
S0107,stage1,"FY1978 contemporaneous income, balance sheet, dividends, stores, square footage, comparable-store growth; and the nine-year restatement of FY1970-FY1977","Wal-Mart Stores, Inc. Annual Report, fiscal year ended January 31, 1978",Wal-Mart Stores Inc.; Arthur Young & Company,printed registrant annual report,primary,1978-01-31,1978-04-14,2026-09-24,https://archive.org/details/1978-annual-report-for-walmart-stores-inc,sources/periodicals/WALMART_AR_1978.txt,1,FACT,High,same lineage as S0101,Comparable stores sales (excluding the effect of new stores) increased 17 percent,NEW to A3; CLEANEST layer of the five — designated reference copy for FY1970-FY1978; no audited-statement page and no nine-year-table column missing; 18 row/column identities verified arithmetically; SHA-256 10a30c39…62978f
S0108,stage1,"FY1979 contemporaneous income, balance sheet, dividends, headcount, retail space; and the SFAS-13 restatement of FY1975-FY1978","Wal-Mart Stores, Inc. Annual Report, fiscal year ended January 31, 1979",Wal-Mart Stores Inc.; Arthur Young & Company,printed registrant annual report,primary,1979-01-31,1979-04-06,2026-09-24,https://archive.org/details/1979-annual-report-for-walmart-stores-inc,sources/periodicals/WALMART_AR_1979.txt,1,FACT,High,same lineage as S0101; it is ALSO a restating document for FY1975-FY1978,All financial information prior to 1979 has been restated to reflect the retroactive application of Statement of Financial Accounting Standards No. 13,"NEW to A3; complete scan (24 pp); TEN-YEAR SUMMARY numeric cells unreadable — do NOT read a multi-year series out of this file; income statement, balance sheet, two-year comparison, Five-Year Financial Review, notes and market-price tables all render; SHA-256 ad6958cf…c7095c"
S0109,stage1,FY1980 statements and the ten-year restated summary,"Wal-Mart Stores, Inc. Annual Report, fiscal year ended January 31, 1980",Wal-Mart Stores Inc.; Arthur Young & Company,printed registrant annual report,primary,1980-01-31,1980-04-01,2026-09-24,https://archive.org/details/1980-annual-report-for-walmart-stores-inc,sources/periodicals/WALMART_AR_1980.txt,1,FACT,High,same lineage as S0101,,"its ten-year table's dividend row is refuted by S0106/S0107/S0108 (COR-A3-04); its middle rows are OCR-damaged (A2 W-69, caveat now discharged by S0108)"
S0110,stage1,"Provenance and byte-level completeness of the five interior-year reports: URLs, item identifiers, retrieval timestamps, SHA-256, page inventories",IA_A2_interior_years_fetch_evidence_20260924.json + the PROVENANCE HEADER block at the head of each WALMART_AR_197x.txt,THE FOUNDER'S PLAYBOOK evidence-registrar (this project),retrieval provenance register,secondary,2026-09-24,2026-09-24,2026-09-24,local,sources/periodicals/IA_A2_interior_years_fetch_evidence_20260924.json and _PROVENANCE_PERIODICALS.md,n/a,METHOD ARTEFACT,High,self-record,"COMPLETENESS: **complete scan, no page absent, but PARTIAL-WITH-GAPS as machine-readable text.**","every CONTEMPORANEOUS / NOT-RECOVERABLE claim in this dossier about a text layer rests on these headers, not on the registrant"
