company,source_family,query,item_id,title,date_or_issue,url,snippet_or_hitcount,http_status,classification,retrieved_at
unitedhealth,chronicling_america,CA 'Charter Med' 1971-1985,,,,,"UNANSWERED[bot_challenge]: HTTP 403 Cloudflare bot-management challenge (Cf-Mitigated: challenge, Cf-Ray: a40cf8402985dfdc-DEL). The host answered 'prove you are a browser' and never searched anything: UNANSWERED, not a null, and no parameter change will fix it saved:chronicling_america/b7104fc2b55946ad.json",403,UNANSWERED,2026-09-25T21:02:23Z
unitedhealth,chronicling_america,CA 'Metropolitan Health Plans' 1971-1985,,,,,"UNANSWERED[bot_challenge]: HTTP 403 Cloudflare bot-management challenge (Cf-Mitigated: challenge, Cf-Ray: a40cf84c6cc554f6-DEL). The host answered 'prove you are a browser' and never searched anything: UNANSWERED, not a null, and no parameter change will fix it saved:chronicling_america/d75b6300b4f3bfa2.json",403,UNANSWERED,2026-09-25T21:02:25Z
unitedhealth,chronicling_america,CA 'United Healthplan' 1974-1985,,,,,"UNANSWERED[bot_challenge]: HTTP 403 Cloudflare bot-management challenge (Cf-Mitigated: challenge, Cf-Ray: a40cf8592b6774e9-DEL). The host answered 'prove you are a browser' and never searched anything: UNANSWERED, not a null, and no parameter change will fix it saved:chronicling_america/bfdd07b76fa72b53.json",403,UNANSWERED,2026-09-25T21:02:27Z
unitedhealth,chronicling_america,CA 'Physicians Health Plan' Minneapolis 1971-1985,,,,,"UNANSWERED[bot_challenge]: HTTP 403 Cloudflare bot-management challenge (Cf-Mitigated: challenge, Cf-Ray: a40cf8659e6659cf-DEL). The host answered 'prove you are a browser' and never searched anything: UNANSWERED, not a null, and no parameter change will fix it saved:chronicling_america/e1e6daa9dfc350cd.json",403,UNANSWERED,2026-09-25T21:02:29Z
unitedhealth,chronicling_america,CA Richard Burke Minnesota 1974-1988 (REPLACES the phantom term 'Burdic'),,,,,"UNANSWERED[bot_challenge]: HTTP 403 Cloudflare bot-management challenge (Cf-Mitigated: challenge, Cf-Ray: a40cf872283096b4-DEL). The host answered 'prove you are a browser' and never searched anything: UNANSWERED, not a null, and no parameter change will fix it saved:chronicling_america/9c744bd5fa5e1c7e.json",403,UNANSWERED,2026-09-25T21:02:31Z
unitedhealth,corporate_print,CP unitedhealth annual reports 1977-1995,,,,,"EMPTY (proven null): numFound=0 FOR THESE EXACT PARAMS ONLY — per-param, never per-corpus; the family stays open until digitised corporate print is searched on other indexes too",200,NULL,2026-09-25T21:04:10Z
unitedhealth,corporate_print,CP unitedhealth corporate-print by creator 1971-1995,,,,,"EMPTY (proven null): numFound=0 FOR THESE EXACT PARAMS ONLY — per-param, never per-corpus; the family stays open until digitised corporate print is searched on other indexes too",200,NULL,2026-09-25T21:04:12Z
unitedhealth,google_books,GB 'Metropolitan Health Plans' via feeds (was 429 on keyless v1),,,,,"FEED SUMMARY: 2 volume(s) returned, totalResults=2 (Google's display cap, NOT a corpus count), entries carrying <dc:description> matched-page text=2, gbs:snippet nodes=0 -> keyless Google Books gives SNIPPET-LEVEL text only (a ~250-char window on the matched page): cite the volume and page, then obtain the text elsewhere (IA / HathiTrust / a Books API key).",200,LEAD_ONLY,2026-09-25T21:02:43Z
unitedhealth,google_books,GB 'Metropolitan Health Plans' via feeds (was 429 on keyless v1),cF_9CAAAQBAJ,Data-Book of Happiness,2013-03-14,https://books.google.com/books?id=cF_9CAAAQBAJ&pg=PA128,"viewability=partial | matched page=PA128 | Springer Science &amp; Business Media | R. Veenhoven | snippet=... metropolitan health plans , proportionally stratified by marital status . Overrepresentation of healthy and financially secure Ss ; 49 % males , 51 % females ; age 60-84 , median age 70.4 ; median income $ 7200.- AUTHOR&amp;#39;S HAPPINESS&amp;nbsp;...",200,TIER1_CANDIDATE,2026-09-25T21:02:43Z
unitedhealth,google_books,GB 'Metropolitan Health Plans' via feeds (was 429 on keyless v1),WK51MZByt6cC,Computerworld,2003-03-17,https://books.google.com/books?id=WK51MZByt6cC&pg=PA35,"viewability=all_pages | matched page=PA35 | - | - | snippet=... Metropolitan Health plans to wrap its server architecture decisions in high-level business goals, says Randy Truax, manager of technical services. Truax hopes to tie the operating system upgrade to a server consolidation project, since&amp;nbsp;...",200,TIER1_CANDIDATE,2026-09-25T21:02:43Z
