company,stage,date_or_range,event,actors,location,source_id,evidence_class,confidence,conflict_ref,notes
Apple,stage1,1975-10-15,Homebrew meeting survey counts 38 live systems among about 80 attendees,club members,San Francisco Bay Area; venue not printed in the cached item,A2S-10,CONTEMPORARY OBSERVATION,Medium-High,None,Baseline for the June 1976 count
Apple,stage1,1975,Apple-I designed 'late in 1975' per its designer,Stephen Wozniak,location UNKNOWN in print,A2S-06,FOUNDER CLAIM (contemporaneous),Medium,U-A2-2,No 1975 document in the cached corpus names the machine or the design
Apple,stage1,1976-04,An APPLE 6502 system is a club's special guest; Steve Wozniak thanked for transporting it,Stephen Wozniak; Sonoma County Micro Computer Club,"Cotati, California (LO*OP CENTER)",A2S-12,CONTEMPORARY OBSERVATION,High,None,Earliest dated Apple-machine-and-founder trace in any cached document
Apple,stage1,1976-06-09,Kentucky Fried Computers sells IMSAI by mail and telephone to club members; has no store yet,Mark Greenberg; Charles Grant,"Berkeley, California",A2S-10,CONTEMPORARY OBSERVATION,High,None,The firm that advertises an Apple-1 by mail in November 1976 (A2-12)
Apple,stage1,1976-07,BYTE prints Paul Terrell as founder of the world's first computer store franchise,Paul Terrell; BYTE,Peterborough NH (magazine) / Mountain View CA (store),A2S-02,CONTEMPORARY OBSERVATION,High,U-A2-5,Channel precondition for Apple's first distribution
Apple,stage1,1976-09,Earliest Apple-1 retail advertisement recovered: 'Take a byte out of the new Apple-1 computer',"Computer Mart of New York Inc (Stanley Veit, storekeeper)","314 Fifth Avenue, New York NY",A2S-04,FACT (advertising artifact),High,None,One month earlier than the feasibility probe recorded (C-1)
Apple,stage1,1976-09,Byte Shop stores #1 and #2 printed with addresses and telephone,Paul Terrell's Byte Shop,1063 El Camino Real Mountain View; 3400 El Camino Real Santa Clara,A2S-04,FACT,High,None,Same issue as the first Apple-1 advertisement
Apple,stage1,1976-09,WESCON floor: Helmers converses with Steven Jobs (Apple Computer Co) and Paul Terrell (Byte Shops),Steve Jobs; Paul Terrell; Bob Marsh; Chris Rutkowsky; Carl Helmers,"WESCON, Los Angeles CA",A2S-03,CONTEMPORARY OBSERVATION,High,None,Earliest outside print naming Jobs
Apple,stage1,1976-07-12,Business Week features the Byte Shop (as reported by BYTE in October 1976),Paul Terrell; Business Week,Mountain View CA,A2S-03,CONTEMPORARY OBSERVATION of a third publication,High,None,Content of the article UNKNOWN; a dated general-press target (DG-11)
Apple,stage1,1976-11,Apple-1 offered by mail order at 10% off manufacturer's list; 'the new Apple computer' described as currently marketed,Kentucky Fried Computers; BYTE article author,Berkeley CA,A2S-04,FACT,High,None,Proves a published retail list price existed by November 1976
Apple,stage1,1976-11-20,Wozniak and Jobs demonstrate the prototype Apple-II in a Palo Alto motel room; BASIC session that evening,Stephen Wozniak; Stephen Jobs; Carl Helmers,Palo Alto CA,A2S-05,CONTEMPORARY OBSERVATION,High,U-A2-3,Single witness; published April 1977
Apple,stage1,1976-12,'Apple Computers' a committed exhibitor at the first West Coast Computer Faire,Apple; Jim Warren (Faire chairperson),San Francisco CA,A2S-03,CONTEMPORARY OBSERVATION,High,U-A2-1,Last pre-launch trade reference
Apple,stage1,1976-12-10,"Faire billed for April 15-17, 1977 at the San Francisco Civic Auditorium",Jim Warren,newsletter office Mountain View CA,A2S-12,FACT,High,U-A2-3,Closes the probe's venue/date gap (C-6)
Apple,stage1,1977-01-03,"Apple Computer, Inc. incorporated under California law",UNKNOWN in this corpus,UNKNOWN,AP-04 (outside the A2 corpus),FACT,High,U-A2-1,Stage boundary; NOT in the periodical corpus - no 1977 print reports it
Apple,stage1,1977-02-16,"Faire flyer circulated: 200 exhibitors, 7,000-10,000 expected, 'Bay Area - Where It All Started'",Jim Warren; Homebrew members,San Francisco CA,A2S-11,CONTEMPORARY OBSERVATION,High,None,A regional origin claim predating any company origin story
Apple,stage1,1977-04,BYTE prints a national computer-store directory: about 35 Byte Shop outlets across 22 jurisdictions including Tokyo and Vancouver,"Byte Shops Inc (Bryan Kerr, Sunnyvale); named managers","US, Canada, Japan",A2S-05,FACT,High,None,The most granular channel evidence recovered for Stage 1
Apple,stage1,1977-04-15/17,"First West Coast Computer Faire held; Apple booth invited to; announced attendance 12,800","Apple; Jim Warren; 12,800 attendees (promoter's count)",San Francisco Civic Auditorium,A2S-05 and A2S-08,CONTEMPORARY OBSERVATION,Medium,U-A2-3,Self-reported count; no independent denominator
