accession,file,path,bytes,words,status,form,filingDate,url,listing
0000891020-94-000176,0000891020-94-000176.txt,sec\0000891020-94-000176_0000891020-94-000176.txt,54245,6843,ok,DEF 14A,1994-09-27,https://www.sec.gov/Archives/edgar/data/0000789019/000089102094000176/0000891020-94-000176.txt,"listing via padded-cik/nodash-dir (4 items, 1 unnamed)"
0000891020-94-000175,0000891020-94-000175.txt,sec\0000891020-94-000175_0000891020-94-000175.txt,442763,56988,ok,10-K,1994-09-27,https://www.sec.gov/Archives/edgar/data/0000789019/000089102094000175/0000891020-94-000175.txt,"listing via padded-cik/nodash-dir (18 items, 15 unnamed)"
0000891020-94-000180,0000891020-94-000180.txt,sec\0000891020-94-000180_0000891020-94-000180.txt,40018,4499,ok,S-3,1994-10-14,https://www.sec.gov/Archives/edgar/data/0000789019/000089102094000180/0000891020-94-000180.txt,"listing via bare-cik/nodash-dir (7 items, 4 unnamed)"
0000891020-95-000018,0000891020-95-000018.txt,sec\0000891020-95-000018_0000891020-95-000018.txt,823653,106263,ok,S-4,1995-02-09,https://www.sec.gov/Archives/edgar/data/789019/000089102095000018/0000891020-95-000018.txt,UNANSWERED listing: padded-cik/nodash-dir -> UNANSWERED after 2 tries (HTTP 503 b'SEC.gov | File Unavailable' page)
0000891020-95-000029,0000891020-95-000029.txt,sec\0000891020-95-000029_0000891020-95-000029.txt,689649,87046,ok,S-4/A,1995-02-17,https://www.sec.gov/Archives/edgar/data/0000789019/000089102095000029/0000891020-95-000029.txt,"listing via padded-cik/nodash-dir (7 items, 4 unnamed)"
0000891020-95-000433,0000891020-95-000433.txt,sec\0000891020-95-000433_0000891020-95-000433.txt,189572,21025,ok,10-K,1995-09-25,https://www.sec.gov/Archives/edgar/data/0000789019/000089102095000433/0000891020-95-000433.txt,"listing via padded-cik/nodash-dir (11 items, 8 unnamed)"
0001032210-99-000436,0001032210-99-000436.txt,sec\0001032210-99-000436_0001032210-99-000436.txt,8255,816,ok,SC 13G/A,1996-02-07,https://www.sec.gov/Archives/edgar/data/0000789019/000103221099000436/0001032210-99-000436.txt,UNANSWERED listing: padded-cik/nodash-dir -> UNANSWERED after 2 tries (HTTP 503 b'SEC.gov | File Unavailable' page)
0000950133-96-000517,0000950133-96-000517.txt,sec\0000950133-96-000517_0000950133-96-000517.txt,428395,39843,ok,SC 13D,1996-05-09,https://www.sec.gov/Archives/edgar/data/0000789019/000095013396000517/0000950133-96-000517.txt,UNANSWERED listing: padded-cik/nodash-dir -> UNANSWERED after 2 tries (HTTP 503 b'SEC.gov | File Unavailable' page)
0000891020-96-001092,0000891020-96-001092.txt,sec\0000891020-96-001092_0000891020-96-001092.txt,28880,3197,ok,POS AM,1996-09-13,https://www.sec.gov/Archives/edgar/data/0000789019/000089102096001092/0000891020-96-001092.txt,UNANSWERED listing: padded-cik/nodash-dir -> UNANSWERED after 2 tries (HTTP 503 b'SEC.gov | File Unavailable' page)
0000891020-96-001130,0000891020-96-001130.txt,sec\0000891020-96-001130_0000891020-96-001130.txt,147565,16959,ok,10-K,1996-09-27,https://www.sec.gov/Archives/edgar/data/0000789019/000089102096001130/0000891020-96-001130.txt,UNANSWERED listing: padded-cik/nodash-dir -> UNANSWERED after 2 tries (HTTP 503 b'SEC.gov | File Unavailable' page)
0000898430-97-002409,0000898430-97-002409.txt,sec\0000898430-97-002409_0000898430-97-002409.txt,765329,104663,ok,S-4/A,1997-06-03,https://www.sec.gov/Archives/edgar/data/789019/000089843097002409/0000898430-97-002409.txt,UNANSWERED listing: padded-cik/nodash-dir -> UNANSWERED after 2 tries (HTTP 503 b'SEC.gov | File Unavailable' page)
0000898430-97-002537,0000898430-97-002537.txt,sec\0000898430-97-002537_0000898430-97-002537.txt,759035,104545,ok,S-4/A,1997-06-13,https://www.sec.gov/Archives/edgar/data/0000789019/000089843097002537/0000898430-97-002537.txt,UNANSWERED listing: padded-cik/nodash-dir -> UNANSWERED after 2 tries (HTTP 503 b'SEC.gov | File Unavailable' page)
0001017062-97-001764,0001017062-97-001764.txt,sec\0001017062-97-001764_0001017062-97-001764.txt,198534,24118,ok,10-K,1997-09-29,https://www.sec.gov/Archives/edgar/data/0000789019/000101706297001764/0001017062-97-001764.txt,"listing via padded-cik/nodash-dir (13 items, 10 unnamed)"
0001032210-98-001067,0001032210-98-001067.txt,sec\0001032210-98-001067_0001032210-98-001067.txt,178170,20647,ok,10-K,1998-09-25,https://www.sec.gov/Archives/edgar/data/0000789019/000103221098001067/0001032210-98-001067.txt,"listing via padded-cik/nodash-dir (11 items, 8 unnamed)"
0001032210-99-001375,0001032210-99-001375.txt,sec\0001032210-99-001375_0001032210-99-001375.txt,289775,36839,ok,10-K,1999-09-28,https://www.sec.gov/Archives/edgar/data/0000789019/000103221099001375/0001032210-99-001375.txt,"listing via padded-cik/nodash-dir (13 items, 10 unnamed)"
0001032210-99-001374,0001032210-99-001374-d1.html,sec\0001032210-99-001374_0001032210-99-001374-d1.html,146656,6839,ok,DEF 14A,1999-09-28,https://www.sec.gov/Archives/edgar/data/0000789019/000103221099001374/0001032210-99-001374-d1.html,"listing via padded-cik/nodash-dir (4 items, 0 unnamed)"
0001032210-99-001374,0001032210-99-001374.txt,sec\0001032210-99-001374_0001032210-99-001374.txt,148033,6978,ok,DEF 14A,1999-09-28,https://www.sec.gov/Archives/edgar/data/0000789019/000103221099001374/0001032210-99-001374.txt,"listing via padded-cik/nodash-dir (4 items, 0 unnamed)"
