accession,file,path,bytes,words,status,form,filingDate,url,listing
0000912057-94-002516,0000912057-94-002516.txt,sec\0000912057-94-002516_0000912057-94-002516.txt,125566,18904,ok,8-K,1994-08-05,https://www.sec.gov/Archives/edgar/data/0000909832/000091205794002516/0000912057-94-002516.txt,UNANSWERED listing: padded-cik/nodash-dir -> UNANSWERED after 2 tries (HTTP 503 b'SEC.gov | File Unavailable' page)
0000912057-94-003945,0000912057-94-003945.txt,sec\0000912057-94-003945_0000912057-94-003945.txt,396621,45590,ok,10-K,1994-11-17,https://www.sec.gov/Archives/edgar/data/0000909832/000091205794003945/0000912057-94-003945.txt,"listing via padded-cik/nodash-dir (9 items, 6 unnamed)"
0000950123-94-002087,0000950123-94-002087.txt,sec\0000950123-94-002087_0000950123-94-002087.txt,75063,10180,ok,DEF 14A,1994-12-23,https://www.sec.gov/Archives/edgar/data/0000909832/000095012394002087/0000950123-94-002087.txt,UNANSWERED listing: padded-cik/nodash-dir -> UNANSWERED after 2 tries (HTTP 503 b'SEC.gov | File Unavailable' page)
0000912057-94-004286,0000912057-94-004286.txt,sec\0000912057-94-004286_0000912057-94-004286.txt,9730,1137,ok,SC 13D,1994-12-23,https://www.sec.gov/Archives/edgar/data/0000909832/000091205794004286/0000912057-94-004286.txt,"listing via padded-cik/nodash-dir (4 items, 1 unnamed)"
0000891020-95-000177,0000891020-95-000177.txt,sec\0000891020-95-000177_0000891020-95-000177.txt,324751,46198,ok,S-3,1995-05-17,https://www.sec.gov/Archives/edgar/data/0000909832/000089102095000177/0000891020-95-000177.txt,"listing via padded-cik/nodash-dir (11 items, 8 unnamed)"
0000891020-95-000228,0000891020-95-000228.txt,sec\0000891020-95-000228_0000891020-95-000228.txt,59941,7865,ok,424B1,1995-06-02,https://www.sec.gov/Archives/edgar/data/0000909832/000089102095000228/0000891020-95-000228.txt,"listing via padded-cik/nodash-dir (4 items, 1 unnamed)"
0000912057-95-010555,0000912057-95-010555.txt,sec\0000912057-95-010555_0000912057-95-010555.txt,309405,34499,ok,10-K405,1995-11-30,https://www.sec.gov/Archives/edgar/data/909832/000091205795010555/0000912057-95-010555.txt,UNANSWERED listing: padded-cik/nodash-dir -> UNANSWERED after 2 tries (HTTP 503 b'SEC.gov | File Unavailable' page)
0000732812-96-000308,0000732812-96-000308.txt,sec\0000732812-96-000308_0000732812-96-000308.txt,14757,1392,ok,SC 13G,1996-02-12,https://www.sec.gov/Archives/edgar/data/0000909832/000073281296000308/0000732812-96-000308.txt,UNANSWERED listing: padded-cik/nodash-dir -> UNANSWERED after 2 tries (HTTP 503 b'SEC.gov | File Unavailable' page)
0000912057-96-004594,0000912057-96-004594.txt,sec\0000912057-96-004594_0000912057-96-004594.txt,16176,1519,ok,10-K/A,1996-03-15,https://www.sec.gov/Archives/edgar/data/0000909832/000091205796004594/0000912057-96-004594.txt,UNANSWERED listing: padded-cik/nodash-dir -> UNANSWERED after 2 tries (HTTP 503 b'SEC.gov | File Unavailable' page)
0000912057-96-025246,0000912057-96-025246.txt,sec\0000912057-96-025246_0000912057-96-025246.txt,349131,43721,ok,10-K405,1996-11-08,https://www.sec.gov/Archives/edgar/data/909832/000091205796025246/0000912057-96-025246.txt,"listing via padded-cik/nodash-dir (9 items, 6 unnamed)"
0001047469-97-003493,0001047469-97-003493.txt,sec\0001047469-97-003493_0001047469-97-003493.txt,604104,82452,ok,10-K,1997-11-10,https://www.sec.gov/Archives/edgar/data/0000909832/000104746997003493/0001047469-97-003493.txt,"listing via padded-cik/nodash-dir (14 items, 11 unnamed)"
