company,source_family,query,item_id,title,date_or_issue,url,snippet_or_hitcount,http_status,classification,retrieved_at
nvidia,chronicling_america,"CA canary '""Nvidia""' 1995-1999 (family reachability with our own terms)",,,,,"UNANSWERED[bot_challenge]: HTTP 403 Cloudflare bot-management challenge (Cf-Mitigated: challenge, Cf-Ray: a40c5d37996154e8-DEL). The host answered 'prove you are a browser' and never searched anything: UNANSWERED, not a null, and no parameter change will fix it saved:chronicling_america/03e30a3768a0e367.json",403,UNANSWERED,2026-09-25T19:16:33Z
nvidia,corporate_print,"CP nvidia corporate print, title-scoped 1994-2001",,,,,"EMPTY (proven null): numFound=0 FOR THESE EXACT PARAMS ONLY — per-param, never per-corpus; the family stays open until digitised corporate print is searched on other indexes too",200,NULL,2026-09-25T19:16:14Z
nvidia,corporate_print,"CP nvidia corporate print, creator-scoped 1994-2001",,,,,"EMPTY (proven null): numFound=0 FOR THESE EXACT PARAMS ONLY — per-param, never per-corpus; the family stays open until digitised corporate print is searched on other indexes too",200,NULL,2026-09-25T19:16:16Z
nvidia,corporate_print,"CP nvidia title-scoped, NO report terms, 1993-2003",map-17-revised-chip-characteristics-tsaffaie-d-04970bb-6e-2aef-6fc-2824e-8611f-1b-995-annas-archive,Nvidia NV17/MAP17 Datasheets [GeForce Go400 + NForce2),2002-02-01,https://archive.org/details/map-17-revised-chip-characteristics-tsaffaie-d-04970bb-6e-2aef-6fc-2824e-8611f-1b-995-annas-archive,"texts, ['opensource', 'fav-fay_spaniel'], NVIDIA Corporation",200,TIER1_CANDIDATE,2026-09-25T19:18:29Z
nvidia,corporate_print,"CP nvidia title-scoped, NO report terms, 1993-2003",nvlinux-r25-notes,NVIDIA Accelerated Linux Driver Set Release 25 Notes,2002-09-07,https://archive.org/details/nvlinux-r25-notes,"texts, ['opensource', 'community', 'fav-erik646'], nVidia | GATE-REJECTED from Tier-1: in-window text item, but its own title/creator do not carry a configured corporate name + report-type term (WR-17 false-positive rule). Chase as a lead only.",200,LEAD_ONLY,2026-09-25T19:18:29Z
nvidia,corporate_print,"CP nvidia title-scoped, NO report terms, 1993-2003",01.-nvidia-annual-reports,NVIDIA Corporation Annual Reports,1993-04-05,https://archive.org/details/01.-nvidia-annual-reports,"texts, ['fund-and-stock-reports', 'periodicals', 'magazine_rack', 'fav-matuasamuel', 'fav-rohit_gupta696'], NVIDIA Corpo",200,TIER1_CANDIDATE,2026-09-25T19:18:29Z
nvidia,corporate_print,"CP nvidia creator-scoped, NO report terms, 1993-2003",map-17-revised-chip-characteristics-tsaffaie-d-04970bb-6e-2aef-6fc-2824e-8611f-1b-995-annas-archive,Nvidia NV17/MAP17 Datasheets [GeForce Go400 + NForce2),2002-02-01,https://archive.org/details/map-17-revised-chip-characteristics-tsaffaie-d-04970bb-6e-2aef-6fc-2824e-8611f-1b-995-annas-archive,"texts, ['opensource', 'fav-fay_spaniel'], NVIDIA Corporation",200,TIER1_CANDIDATE,2026-09-25T19:18:30Z
nvidia,corporate_print,"CP nvidia creator-scoped, NO report terms, 1993-2003",nvlinux-r25-notes,NVIDIA Accelerated Linux Driver Set Release 25 Notes,2002-09-07,https://archive.org/details/nvlinux-r25-notes,"texts, ['opensource', 'community', 'fav-erik646'], nVidia | GATE-REJECTED from Tier-1: in-window text item, but its own title/creator do not carry a configured corporate name + report-type term (WR-17 false-positive rule). Chase as a lead only.",200,LEAD_ONLY,2026-09-25T19:18:30Z
nvidia,corporate_print,"CP nvidia creator-scoped, NO report terms, 1993-2003",01.-nvidia-annual-reports,NVIDIA Corporation Annual Reports,1993-04-05,https://archive.org/details/01.-nvidia-annual-reports,"texts, ['fund-and-stock-reports', 'periodicals', 'magazine_rack', 'fav-matuasamuel', 'fav-rohit_gupta696'], NVIDIA Corpo",200,TIER1_CANDIDATE,2026-09-25T19:18:30Z
nvidia,corporate_print,"CP nvidia + prospectus/annual anywhere in title, 1990-2005 (window widened)",01.-nvidia-annual-reports,NVIDIA Corporation Annual Reports,1993-04-05,https://archive.org/details/01.-nvidia-annual-reports,"texts, ['fund-and-stock-reports', 'periodicals', 'magazine_rack', 'fav-matuasamuel', 'fav-rohit_gupta696'], NVIDIA Corpo",200,TIER1_CANDIDATE,2026-09-25T19:18:31Z
nvidia,corporate_print,CP text availability: item 01.-nvidia-annual-reports,01.-nvidia-annual-reports,NVIDIA Corporation Annual Reports,1993-04-05,https://ia800507.us.archive.org/22/items/01.-nvidia-annual-reports/01. NVIDIA Annual Reports_djvu.txt,"TEXT LAYER PRESENT | server=ia800507.us.archive.org dir=/22/items/01.-nvidia-annual-reports | 01. NVIDIA Annual Reports_djvu.txt, NVIDIA Corporation (NVDA) Annual Report 2005_djvu.txt, NVIDIA Corporation (NVDA) Annual Report 2006_djvu.txt, NVIDIA Corporation (NVDA) Annual Report 2007_djvu.txt, NVIDIA Corporation (NVDA) Annual Report 2008_djvu.txt, NVIDIA Corporation (NVDA) Annual Report 2009_djvu.txt, NVIDIA Corporation (NVDA) Annual Report 2010_djvu.txt, NVIDIA Corporation (NVDA) Annual Report 2011_djvu.txt, NVIDIA Corporation (NVDA) Annual Report 2012_djvu.txt, NVIDIA Corporation (NVDA) Annual Report 2013_djvu.txt, NVIDIA Corporation (NVDA) Annual Report 2014_djvu.txt, NVIDIA Corporation (NVDA) Annual Report 2015_djvu.txt, NVIDIA Corporation (NVDA) Annual Report 2016_djvu.txt, NVIDIA Corporation (NVDA) Annual Report 2017_djvu.txt, NVIDIA Corporation (NVDA) Annual Report 2018_djvu.txt, NVIDIA Corporation (NVDA) Annual Report 2019_djvu.txt, NVIDIA Corporation (NVDA) Annual Report 2020_djvu.txt, NVIDIA Corporation (NVDA) Annual Report 2021_djvu.txt, NVIDIA Corporation (NVDA) Annual Report 2022_djvu.txt, NVIDIA Corporation (NVDA) Annual Report 2023_djvu.txt, NVIDIA Corporation (NVDA) Combined Annual Report & Proxy Statement 2024_djvu.txt, NVIDIA Corporation (NVDA) Combined Annual Report & Proxy Statement 2025 (C)_djvu.txt, NVIDIA Corporation (NVDA) Combined Annual Report & Proxy Statement 2026 (C)_djvu.txt",200,TIER1_CANDIDATE,2026-09-25T19:21:20Z
nvidia,google_books,"GB '""Nvidia"" graphics accelerator' volumes feed",,,,,"FEED SUMMARY: 10 volume(s) returned, totalResults=300 (Google's display cap, NOT a corpus count), entries carrying <dc:description> matched-page text=10, gbs:snippet nodes=0 -> keyless Google Books gives SNIPPET-LEVEL text only (a ~250-char window on the matched page): cite the volume and page, then obtain the text elsewhere (IA / HathiTrust / a Books API key).",200,LEAD_ONLY,2026-09-25T19:16:33Z
nvidia,google_books,"GB '""Nvidia"" graphics accelerator' volumes feed",7uUGEgAAQBAJ,NVIDIA GPU Infrastructure Fundamentals,2026-08-31,https://books.google.com/books?id=7uUGEgAAQBAJ&pg=PA26,"viewability=partial | matched page=PA26 | Packt Publishing Ltd | Vivian Aranha | snippet=A structured guide to NVIDIA GPU infrastructure, from CUDA to production operations Vivian Aranha. • CUDA libraries ... graphics processor to general-purpose accelerator Threads, blocks, and grids.",200,TIER1_CANDIDATE,2026-09-25T19:16:33Z
