accession,file,path,bytes,words,status,form,filingDate,url,listing
0001012870-98-000618,0001012870-98-000618.txt,sec\0001012870-98-000618_0001012870-98-000618.txt,856608,122698,ok,S-1,1998-03-06,https://www.sec.gov/Archives/edgar/data/0001045810/000101287098000618/0001012870-98-000618.txt,"listing via padded-cik/nodash-dir (20 items, 17 unnamed)"
0001012870-98-001089,0001012870-98-001089.txt,sec\0001012870-98-001089_0001012870-98-001089.txt,564104,77579,ok,S-1/A,1998-04-24,https://www.sec.gov/Archives/edgar/data/0001045810/000101287098001089/0001012870-98-001089.txt,"listing via padded-cik/nodash-dir (12 items, 9 unnamed)"
0001012870-98-001519,0001012870-98-001519.txt,sec\0001012870-98-001519_0001012870-98-001519.txt,440312,59816,ok,S-1/A,1998-06-08,https://www.sec.gov/Archives/edgar/data/0001045810/000101287098001519/0001012870-98-001519.txt,"listing via padded-cik/nodash-dir (6 items, 3 unnamed)"
0000929624-98-001285,0000929624-98-001285.txt,sec\0000929624-98-001285_0000929624-98-001285.txt,626995,84710,ok,S-1/A,1998-07-27,https://www.sec.gov/Archives/edgar/data/0001045810/000092962498001285/0000929624-98-001285.txt,"listing via padded-cik/nodash-dir (6 items, 3 unnamed)"
0001012870-98-003021,0001012870-98-003021.txt,sec\0001012870-98-003021_0001012870-98-003021.txt,590627,79675,ok,S-1/A,1998-11-20,https://www.sec.gov/Archives/edgar/data/0001045810/000101287098003021/0001012870-98-003021.txt,"listing via padded-cik/nodash-dir (8 items, 5 unnamed)"
0001012870-98-003234,0001012870-98-003234.txt,sec\0001012870-98-003234_0001012870-98-003234.txt,682998,95502,ok,S-1/A,1998-12-23,https://www.sec.gov/Archives/edgar/data/0001045810/000101287098003234/0001012870-98-003234.txt,"listing via padded-cik/nodash-dir (11 items, 8 unnamed)"
0001012870-99-000100,0001012870-99-000100.txt,sec\0001012870-99-000100_0001012870-99-000100.txt,425132,57257,ok,S-1/A,1999-01-13,https://www.sec.gov/Archives/edgar/data/0001045810/000101287099000100/0001012870-99-000100.txt,"listing via padded-cik/nodash-dir (6 items, 3 unnamed)"
0000898430-99-000180,0000898430-99-000180.txt,sec\0000898430-99-000180_0000898430-99-000180.txt,424134,57037,ok,S-1/A,1999-01-20,https://www.sec.gov/Archives/edgar/data/0001045810/000089843099000180/0000898430-99-000180.txt,"listing via padded-cik/nodash-dir (5 items, 2 unnamed)"
0001012870-99-000192,0001012870-99-000192.txt,sec\0001012870-99-000192_0001012870-99-000192.txt,394333,53525,ok,424B4,1999-01-22,https://www.sec.gov/Archives/edgar/data/0001045810/000101287099000192/0001012870-99-000192.txt,"listing via padded-cik/nodash-dir (4 items, 1 unnamed)"
0000929624-99-000772,0000929624-99-000772.txt,sec\0000929624-99-000772_0000929624-99-000772.txt,214347,27626,ok,10-K405,1999-04-29,https://www.sec.gov/Archives/edgar/data/0001045810/000092962499000772/0000929624-99-000772.txt,"listing via padded-cik/nodash-dir (7 items, 4 unnamed)"
0001012870-99-001632,0001012870-99-001632.txt,sec\0001012870-99-001632_0001012870-99-001632.txt,94006,13564,ok,DEF 14A,1999-05-17,https://www.sec.gov/Archives/edgar/data/0001045810/000101287099001632/0001012870-99-001632.txt,"listing via padded-cik/nodash-dir (4 items, 1 unnamed)"
0001012870-99-002654,0001012870-99-002654.txt,sec\0001012870-99-002654_0001012870-99-002654.txt,14950,1385,ok,SC 13G,1999-08-06,https://www.sec.gov/Archives/edgar/data/0001045810/000101287099002654/0001012870-99-002654.txt,"listing via padded-cik/nodash-dir (4 items, 1 unnamed)"
0001012870-00-001346,0001012870-00-001346.txt,sec\0001012870-00-001346_0001012870-00-001346.txt,199535,25182,ok,10-K405,2000-03-13,https://www.sec.gov/Archives/edgar/data/0001045810/000101287000001346/0001012870-00-001346.txt,"listing via padded-cik/nodash-dir (6 items, 3 unnamed)"
0001012870-00-001683,0001012870-00-001683.txt,sec\0001012870-00-001683_0001012870-00-001683.txt,840718,121624,ok,S-3,2000-03-29,https://www.sec.gov/Archives/edgar/data/0001045810/000101287000001683/0001012870-00-001683.txt,"listing via padded-cik/nodash-dir (10 items, 7 unnamed)"
0001012870-00-004830,0001012870-00-004830.txt,sec\0001012870-00-004830_0001012870-00-004830.txt,337729,44325,ok,424B2,2000-09-19,https://www.sec.gov/Archives/edgar/data/0001045810/000101287000004830/0001012870-00-004830.txt,UNANSWERED listing: padded-cik/nodash-dir -> UNANSWERED after 2 tries (HTTP 503 b'SEC.gov | File Unavailable' page)
0001012870-00-005003,0001012870-00-005003.txt,sec\0001012870-00-005003_0001012870-00-005003.txt,98996,13647,ok,8-K,2000-09-28,https://www.sec.gov/Archives/edgar/data/0001045810/000101287000005003/0001012870-00-005003.txt,"listing via padded-cik/nodash-dir (4 items, 0 unnamed)"
0000315066-00-001238,0000315066-00-001238.txt,sec\0000315066-00-001238_0000315066-00-001238.txt,14683,2198,ok,SC 13G,2000-10-10,https://www.sec.gov/Archives/edgar/data/0001045810/000031506600001238/0000315066-00-001238.txt,UNANSWERED listing: padded-cik/nodash-dir -> UNANSWERED after 2 tries (HTTP 503 b'SEC.gov | File Unavailable' page)
0001012870-01-500492,d10k405.txt,sec\0001012870-01-500492_d10k405.txt,220744,28087,ok,10-K405,2001-04-27,https://www.sec.gov/Archives/edgar/data/0001045810/000101287001500492/d10k405.txt,"listing via padded-cik/nodash-dir (9 items, 0 unnamed)"
0001012870-01-500492,dex45.txt,sec\0001012870-01-500492_dex45.txt,257011,38299,ok,10-K405,2001-04-27,https://www.sec.gov/Archives/edgar/data/0001045810/000101287001500492/dex45.txt,"listing via padded-cik/nodash-dir (9 items, 0 unnamed)"
0001012870-01-500492,dex21.txt,sec\0001012870-01-500492_dex21.txt,208813,30599,ok,10-K405,2001-04-27,https://www.sec.gov/Archives/edgar/data/0001045810/000101287001500492/dex21.txt,"listing via padded-cik/nodash-dir (9 items, 0 unnamed)"
0001012870-01-500492,dex46.txt,sec\0001012870-01-500492_dex46.txt,115260,18202,ok,10-K405,2001-04-27,https://www.sec.gov/Archives/edgar/data/0001045810/000101287001500492/dex46.txt,"listing via padded-cik/nodash-dir (9 items, 0 unnamed)"
0000898430-01-500300,dsc13g.txt,sec\0000898430-01-500300_dsc13g.txt,20499,2445,ok,SC 13G,2001-04-30,https://www.sec.gov/Archives/edgar/data/0001045810/000089843001500300/dsc13g.txt,UNANSWERED listing: padded-cik/nodash-dir -> UNANSWERED after 2 tries (HTTP 503 b'SEC.gov | File Unavailable' page)
0000898430-01-500300,0000898430-01-500300.txt,sec\0000898430-01-500300_0000898430-01-500300.txt,22321,2638,ok,SC 13G,2001-04-30,https://www.sec.gov/Archives/edgar/data/0001045810/000089843001500300/0000898430-01-500300.txt,UNANSWERED listing: padded-cik/nodash-dir -> UNANSWERED after 2 tries (HTTP 503 b'SEC.gov | File Unavailable' page)
0001012870-01-500581,d8k.txt,sec\0001012870-01-500581_d8k.txt,7887,991,ok,8-K,2001-05-03,https://www.sec.gov/Archives/edgar/data/0001045810/000101287001500581/d8k.txt,UNANSWERED listing: padded-cik/nodash-dir -> UNANSWERED after 2 tries (HTTP 503 b'SEC.gov | File Unavailable' page)
0001012870-01-500581,0001012870-01-500581.txt,sec\0001012870-01-500581_0001012870-01-500581.txt,12831,1594,ok,8-K,2001-05-03,https://www.sec.gov/Archives/edgar/data/0001045810/000101287001500581/0001012870-01-500581.txt,UNANSWERED listing: padded-cik/nodash-dir -> UNANSWERED after 2 tries (HTTP 503 b'SEC.gov | File Unavailable' page)
0001012870-01-501315,ddef14a.txt,sec\0001012870-01-501315_ddef14a.txt,84887,11553,ok,DEF 14A,2001-06-25,https://www.sec.gov/Archives/edgar/data/0001045810/000101287001501315/ddef14a.txt,"listing via padded-cik/nodash-dir (4 items, 0 unnamed)"
0001012870-01-501315,0001012870-01-501315.txt,sec\0001012870-01-501315_0001012870-01-501315.txt,86236,11690,ok,DEF 14A,2001-06-25,https://www.sec.gov/Archives/edgar/data/0001045810/000101287001501315/0001012870-01-501315.txt,"listing via padded-cik/nodash-dir (4 items, 0 unnamed)"
0001012870-01-503009,ds3.txt,sec\0001012870-01-503009_ds3.txt,39231,5039,ok,S-3,2001-11-30,https://www.sec.gov/Archives/edgar/data/0001045810/000101287001503009/ds3.txt,"listing via padded-cik/nodash-dir (6 items, 0 unnamed)"
0001012870-01-503009,dex51.txt,sec\0001012870-01-503009_dex51.txt,2422,346,ok,S-3,2001-11-30,https://www.sec.gov/Archives/edgar/data/0001045810/000101287001503009/dex51.txt,"listing via padded-cik/nodash-dir (6 items, 0 unnamed)"
0001012870-01-503009,dex231.txt,sec\0001012870-01-503009_dex231.txt,566,55,ok,S-3,2001-11-30,https://www.sec.gov/Archives/edgar/data/0001045810/000101287001503009/dex231.txt,"listing via padded-cik/nodash-dir (6 items, 0 unnamed)"
0001012870-01-503009,0001012870-01-503009.txt,sec\0001012870-01-503009_0001012870-01-503009.txt,43529,5571,ok,S-3,2001-11-30,https://www.sec.gov/Archives/edgar/data/0001045810/000101287001503009/0001012870-01-503009.txt,"listing via padded-cik/nodash-dir (6 items, 0 unnamed)"
