accession,file,path,bytes,words,status,form,filingDate,url,listing
0001012870-00-004830,0001.txt,,0,0,UNANSWERED (padded-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/dashed-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page),424B2,2000-09-19,,UNANSWERED listing: padded-cik/nodash-dir -> UNANSWERED after 2 tries (HTTP 503 b'SEC.gov | File Unavailable' page)
0001012870-00-005003,0001.txt,,0,0,UNANSWERED (padded-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/dashed-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page),8-K,2000-09-28,,"listing via padded-cik/nodash-dir (4 items, 0 unnamed)"
0001012870-00-005072,0001.txt,,0,0,UNANSWERED (padded-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/dashed-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page),S-3,2000-10-02,,"listing via padded-cik/nodash-dir (8 items, 0 unnamed)"
0001012870-00-005072,0002.txt,,0,0,UNANSWERED (padded-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/dashed-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page),S-3,2000-10-02,,"listing via padded-cik/nodash-dir (8 items, 0 unnamed)"
0001012870-00-005072,0005.txt,,0,0,UNANSWERED (padded-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/dashed-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page),S-3,2000-10-02,,"listing via padded-cik/nodash-dir (8 items, 0 unnamed)"
0001012870-00-005072,0003.txt,,0,0,UNANSWERED (padded-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/dashed-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page),S-3,2000-10-02,,"listing via padded-cik/nodash-dir (8 items, 0 unnamed)"
0000315066-00-001238,0001.txt,,0,0,UNANSWERED (padded-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/dashed-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page),SC 13G,2000-10-10,,UNANSWERED listing: padded-cik/nodash-dir -> UNANSWERED after 2 tries (HTTP 503 b'SEC.gov | File Unavailable' page)
0001012870-01-000269,0001.txt,,0,0,UNANSWERED (padded-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/dashed-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page),S-4,2001-01-26,,"listing via padded-cik/nodash-dir (10 items, 0 unnamed)"
0001012870-01-000269,0003.txt,,0,0,UNANSWERED (padded-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/dashed-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page),S-4,2001-01-26,,"listing via padded-cik/nodash-dir (10 items, 0 unnamed)"
0001012870-01-000269,0006.txt,,0,0,UNANSWERED (padded-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/dashed-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page),S-4,2001-01-26,,"listing via padded-cik/nodash-dir (10 items, 0 unnamed)"
0001012870-01-000269,0002.txt,,0,0,UNANSWERED (padded-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/dashed-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page),S-4,2001-01-26,,"listing via padded-cik/nodash-dir (10 items, 0 unnamed)"
0001012870-01-000538,0001.txt,,0,0,UNANSWERED (padded-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/dashed-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page),S-4/A,2001-02-13,,"listing via padded-cik/nodash-dir (8 items, 0 unnamed)"
0001012870-01-000538,0004.txt,,0,0,UNANSWERED (padded-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/dashed-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page),S-4/A,2001-02-13,,"listing via padded-cik/nodash-dir (8 items, 0 unnamed)"
0001012870-01-000538,0005.txt,,0,0,UNANSWERED (padded-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/dashed-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page),S-4/A,2001-02-13,,"listing via padded-cik/nodash-dir (8 items, 0 unnamed)"
0001012870-01-000538,0002.txt,,0,0,UNANSWERED (padded-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/nodash-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page | bare-cik/dashed-dir: 404 HTTP 404 b'<Error><Code>NoSuchKey</Code>' page),S-4/A,2001-02-13,,"listing via padded-cik/nodash-dir (8 items, 0 unnamed)"
