company,source_family,query,item_id,title,date_or_issue,url,snippet_or_hitcount,http_status,classification,retrieved_at
meta,chronicling_america,"CA-CANARY titles Cambridge Massachusetts (reachability probe, 1 request)",,,,,"UNANSWERED[bot_challenge]: HTTP 403 Cloudflare bot-management challenge (Cf-Mitigated: challenge, Cf-Ray: a40c64943b67d04b-DEL). The host answered 'prove you are a browser' and never searched anything: UNANSWERED, not a null, and no parameter change will fix it saved:chronicling_america/f3e7a259d5b4cd25-r20260925T192134Z.json",403,UNANSWERED,2026-09-25T19:21:34Z
meta,chronicling_america,"CA page search ""theFacebook"" OR facebook 2004-2006",,,,,"UNANSWERED[bot_challenge]: HTTP 403 Cloudflare bot-management challenge (Cf-Mitigated: challenge, Cf-Ray: a40c649a38c7c0e2-DEL). The host answered 'prove you are a browser' and never searched anything: UNANSWERED, not a null, and no parameter change will fix it saved:chronicling_america/e79dec415cc60deb-r20260925T192134Z.json",403,UNANSWERED,2026-09-25T19:21:35Z
meta,chronicling_america,"CA page search facebook 2004-2006 (plain brand, date-bounded)",,,,,"UNANSWERED[bot_challenge]: HTTP 403 Cloudflare bot-management challenge (Cf-Mitigated: challenge, Cf-Ray: a40c64a09d085498-DEL). The host answered 'prove you are a browser' and never searched anything: UNANSWERED, not a null, and no parameter change will fix it saved:chronicling_america/f9dfec208181548d.json",403,UNANSWERED,2026-09-25T19:21:36Z
meta,corporate_print,CP facebook corporate print 2004-2013 (explicit test before any 'paper only' claim),,,,,SKIPPED: global max-requests cap 25 reached,,UNANSWERED,2026-09-25T19:22:11Z
meta,google_books,"GB ""theFacebook"" / facebook Harvard 2004-2007",,,,,"FEED SUMMARY: 10 volume(s) returned, totalResults=300 (Google's display cap, NOT a corpus count), entries carrying <dc:description> matched-page text=10, gbs:snippet nodes=0 -> keyless Google Books gives SNIPPET-LEVEL text only (a ~250-char window on the matched page): cite the volume and page, then obtain the text elsewhere (IA / HathiTrust / a Books API key).",200,LEAD_ONLY,2026-09-25T19:22:09Z
meta,google_books,"GB ""theFacebook"" / facebook Harvard 2004-2007",j4-Nz9zteBsC,Friends with Benefits,2010,https://books.google.com/books?id=j4-Nz9zteBsC&pg=PA172,"viewability=partial | matched page=PA172 | No Starch Press | Darren Barefoot | snippet=... Harvard students . The site mimics the actual Harvard facebook , a guide distributed to fresh- men that profiles students and staff . The Harvard Crimson covered TheFacebook.com the day after it launched and , in its article , quoted&amp;nbsp;...",200,TIER1_CANDIDATE,2026-09-25T19:22:09Z
meta,google_books,"GB ""theFacebook"" / facebook Harvard 2004-2007",qs1CDwAAQBAJ,Focus On: 100 Most Popular American Internet Celebrities,,https://books.google.com/books?id=qs1CDwAAQBAJ&pg=PA1814,"viewability=partial | matched page=PA1814 | e-artnow sro | Wikipedia contributors | snippet=... Harvard grads face off against thefacebook.com &amp;quot; . The Stanford Daily . 27. ^ Macatee , Rebecca ( 2010-10-01 ) . &amp;quot; The real Cameron Winklevoss says &amp;#39; The Social Network &amp;#39; is &amp;#39; nonfiction &amp;#39; &amp;quot; .PopEater . 28. ^ Milcetich , Jess ( 2005-03&a",200,TIER1_CANDIDATE,2026-09-25T19:22:09Z
meta,google_books,"GB ""theFacebook"" / facebook Harvard 2004-2007",huTcEAAAQBAJ,Digital Media Economics,2023-11-15,https://books.google.com/books?id=huTcEAAAQBAJ&pg=PA198,"viewability=partial | matched page=PA198 | SAGE Publications Limited | Brett Caraway | snippet=... face book. So, in January of 2004, Zuckerberg regis- tered the domain name thefacebook.com (facebook.com was not available), and a month later, launched Thefacebook with the help of fellow Harvard students Eduardo Saverin, Andrew&amp;nbsp;...",200,TIER1_CANDIDATE,2026-09-25T19:22:09Z
meta,google_books,"GB ""theFacebook"" / facebook Harvard 2004-2007",MaueEQAAQBAJ,The Digital Revolution:Tracing The Roots And Future Of Social Media,,https://books.google.com/books?id=MaueEQAAQBAJ&pg=PA46,"viewability=partial | matched page=PA46 | Misha Books | Dr. Tapesh Kiran | snippet=Dr. Tapesh Kiran. The Facebook Era Facebook is a social networking service originally launched as TheFacebook on ... Harvard students , but was expanded to other colleges in the Boston area , the Ivy League , and gradually most&amp;nbsp;...",200,TIER1_CANDIDATE,2026-09-25T19:22:09Z
meta,google_books,"GB ""theFacebook"" / facebook Harvard 2004-2007",-GQlCQAAQBAJ,Facebook Marketing,2012-05-08,https://books.google.com/books?id=-GQlCQAAQBAJ&pg=PA11,"viewability=partial | matched page=PA11 | John Wiley &amp; Sons | Chris Treadaway | snippet=... Harvard University . You can use Thefacebook to : • Search for people at your school • Find out who are in your classes • Look up your friends &amp;#39; friends • See a visualization of your social network To get started , click below to&amp;nbsp;...",200,TIER1_CANDIDATE,2026-09-25T19:22:09Z
meta,google_books,"GB ""theFacebook"" / facebook Harvard 2004-2007",PxTvbM-VCPEC,The Facebook Effect,2011-02,https://books.google.com/books?id=PxTvbM-VCPEC,"viewability=partial | matched page=- | Simon and Schuster | David Kirkpatrick | snippet=Kirkpatrick tells us how Facebook was created, why it has flourished, and where it is going next. He chronicles its successes and missteps.",200,TIER1_CANDIDATE,2026-09-25T19:22:09Z
meta,google_books,"GB ""theFacebook"" / facebook Harvard 2004-2007",8UsuAQAAIAAJ,The News,2008-10,https://books.google.com/books?id=8UsuAQAAIAAJ,"viewability=no_pages | matched page=- | - | - | snippet=... Harvard to pursue their dreams and run Facebook full time . In August 2005 , thefacebook was officially called Facebook and the do- main facebook.com was pur- chased for a reported $ 200,000 . A Winner Again F BABAJIDE KOLADE - OTITOJU&amp;nbsp;...",200,LEAD_ONLY,2026-09-25T19:22:09Z
meta,google_books,"GB ""theFacebook"" / facebook Harvard 2004-2007",1H8bAQAAMAAJ,Social computing,2010,https://books.google.com/books?id=1H8bAQAAMAAJ,"viewability=no_pages | matched page=- | - | - | snippet=... thefacebook , and targeting college students , Facebook is now the second ... Harvard University to focus full- time on his creation . Like MySpace co ... Facebook has more than three million 1212 Student Use of Social Media.",200,LEAD_ONLY,2026-09-25T19:22:09Z
meta,google_books,"GB ""theFacebook"" / facebook Harvard 2004-2007",ShZxEAAAQBAJ,An Ugly Truth,2022-07-05,https://books.google.com/books?id=ShZxEAAAQBAJ&pg=PT32,"viewability=partial | matched page=PT32 | HarperCollins | Sheera Frenkel | snippet=Inside Facebook&amp;#39;s Battle for Domination Sheera Frenkel, Cecilia Kang. mother ... Thefacebook to see what they were missing. The challenge was to make the ... Harvard, it was private by design. But Facebook&amp;#39;s earliest terms of&amp;nbsp;...",200,TIER1_CANDIDATE,2026-09-25T19:22:09Z
meta,google_books,"GB ""theFacebook"" / facebook Harvard 2004-2007",99toblhnR_0C,Newsweek,2012-10,https://books.google.com/books?id=99toblhnR_0C,viewability=no_pages | matched page=- | - | - | snippet=... Thefacebook &amp;quot; for Harvard students . 2012 JUNE : Facebook announces plan to develop controls allowing children under 13 to use the social - media site . X 2006 SEPTEMBER : Facebook opens to anyone 13 and older . On several occasions&amp;nbsp;...,200,LEAD_ONLY,2026-09-25T19:22:09Z
meta,google_books,GB facebook Winklevoss ConnectU 2004-2010 (litigation-side brand pair),,,,,"FEED SUMMARY: 10 volume(s) returned, totalResults=300 (Google's display cap, NOT a corpus count), entries carrying <dc:description> matched-page text=10, gbs:snippet nodes=0 -> keyless Google Books gives SNIPPET-LEVEL text only (a ~250-char window on the matched page): cite the volume and page, then obtain the text elsewhere (IA / HathiTrust / a Books API key).",200,LEAD_ONLY,2026-09-25T19:22:11Z
meta,google_books,GB facebook Winklevoss ConnectU 2004-2010 (litigation-side brand pair),qs1CDwAAQBAJ,Focus On: 100 Most Popular American Internet Celebrities,,https://books.google.com/books?id=qs1CDwAAQBAJ&pg=PA1746,"viewability=partial | matched page=PA1746 | e-artnow sro | Wikipedia contributors | snippet=... Facebook , ConnectU settle dispute : Case an intellectual property kerfuffle &amp;quot; . Boston Globe . 24. ^ Malcom A ... Winklevoss twins &amp;quot; . New York Times . April 8 , 2012 . 37. ^ &amp;quot; Winklevoss twins finally give up fighting Facebook&amp;nbsp;...",200,TIER1_CANDIDATE,2026-09-25T19:22:11Z
