tag,unit,start,end,value,fy,fp,form,fyEnd,frame,accn
Assets,USD,,2011-12-31,6331000000,2012,Q2,10-Q,,,0001193125-12-325997
Assets,USD,,2011-12-31,6331000000,2012,Q3,10-Q,,,0001326801-12-000006
Assets,USD,,2011-12-31,6331000000,2012,FY,10-K,,CY2011Q4I,0001326801-13-000003
Assets,USD,,2012-06-30,14928000000,2012,Q2,10-Q,,CY2012Q2I,0001193125-12-325997
Assets,USD,,2012-09-30,16038000000,2012,Q3,10-Q,,CY2012Q3I,0001326801-12-000006
Assets,USD,,2012-12-31,15103000000,2012,FY,10-K,,,0001326801-13-000003
Assets,USD,,2012-12-31,15103000000,2013,Q1,10-Q,,,0001326801-13-000011
Assets,USD,,2012-12-31,15103000000,2013,Q2,10-Q,,,0001326801-13-000019
Assets,USD,,2012-12-31,15103000000,2013,Q3,10-Q,,,0001326801-13-000031
Assets,USD,,2012-12-31,15103000000,2013,FY,10-K,,CY2012Q4I,0001326801-14-000007
Assets,USD,,2013-03-31,15163000000,2013,Q1,10-Q,,CY2013Q1I,0001326801-13-000011
Assets,USD,,2013-06-30,15724000000,2013,Q2,10-Q,,CY2013Q2I,0001326801-13-000019
Assets,USD,,2013-09-30,14933000000,2013,Q3,10-Q,,CY2013Q3I,0001326801-13-000031
Assets,USD,,2013-12-31,17895000000,2013,FY,10-K,,,0001326801-14-000007
Assets,USD,,2013-12-31,17895000000,2014,Q1,10-Q,,,0001326801-14-000023
Assets,USD,,2013-12-31,17895000000,2014,Q2,10-Q,,,0001326801-14-000032
Assets,USD,,2013-12-31,17895000000,2014,Q3,10-Q,,,0001326801-14-000068
Assets,USD,,2013-12-31,17895000000,2014,FY,10-K,,CY2013Q4I,0001326801-15-000006
Liabilities,USD,,2011-12-31,1432000000,2012,Q2,10-Q,,,0001193125-12-325997
Liabilities,USD,,2011-12-31,1432000000,2012,Q3,10-Q,,,0001326801-12-000006
Liabilities,USD,,2011-12-31,1432000000,2012,FY,10-K,,CY2011Q4I,0001326801-13-000003
Liabilities,USD,,2012-06-30,1619000000,2012,Q2,10-Q,,CY2012Q2I,0001193125-12-325997
Liabilities,USD,,2012-09-30,1864000000,2012,Q3,10-Q,,CY2012Q3I,0001326801-12-000006
Liabilities,USD,,2012-12-31,3348000000,2012,FY,10-K,,,0001326801-13-000003
Liabilities,USD,,2012-12-31,3348000000,2013,Q1,10-Q,,,0001326801-13-000011
Liabilities,USD,,2012-12-31,3348000000,2013,Q2,10-Q,,,0001326801-13-000019
Liabilities,USD,,2012-12-31,3348000000,2013,Q3,10-Q,,,0001326801-13-000031
Liabilities,USD,,2012-12-31,3348000000,2013,FY,10-K,,CY2012Q4I,0001326801-14-000007
Liabilities,USD,,2013-03-31,3339000000,2013,Q1,10-Q,,CY2013Q1I,0001326801-13-000011
Liabilities,USD,,2013-06-30,3375000000,2013,Q2,10-Q,,CY2013Q2I,0001326801-13-000019
Liabilities,USD,,2013-09-30,1885000000,2013,Q3,10-Q,,CY2013Q3I,0001326801-13-000031
Liabilities,USD,,2013-12-31,2425000000,2013,FY,10-K,,,0001326801-14-000007
Liabilities,USD,,2013-12-31,2425000000,2014,Q1,10-Q,,,0001326801-14-000023
Liabilities,USD,,2013-12-31,2425000000,2014,Q2,10-Q,,,0001326801-14-000032
Liabilities,USD,,2013-12-31,2425000000,2014,Q3,10-Q,,,0001326801-14-000068
Liabilities,USD,,2013-12-31,2425000000,2014,FY,10-K,,CY2013Q4I,0001326801-15-000006
NetIncomeLoss,USD,2010-01-01,2010-12-31,606000000,2012,FY,10-K,,CY2010,0001326801-13-000003
NetIncomeLoss,USD,2011-01-01,2011-06-30,471000000,2012,Q2,10-Q,,,0001193125-12-325997
NetIncomeLoss,USD,2011-04-01,2011-06-30,240000000,2012,Q2,10-Q,,CY2011Q2,0001193125-12-325997
NetIncomeLoss,USD,2011-01-01,2011-09-30,698000000,2012,Q3,10-Q,,,0001326801-12-000006
NetIncomeLoss,USD,2011-07-01,2011-09-30,227000000,2012,Q3,10-Q,,CY2011Q3,0001326801-12-000006
NetIncomeLoss,USD,2011-01-01,2011-12-31,1000000000,2012,FY,10-K,,,0001326801-13-000003
