company,stage,date,metric,value,unit,source,source_date,evidence_class,confidence,derived_arithmetic,notes
Target,stage1,1966-01-29,parent_net_retail_sales_incl_leased_departments,186166671,USD,S4201 Statement of Income and SALES note,1966,FACT,High,not_derived (value as printed; no arithmetic performed),"CONTEMPORANEOUS for the fiscal year ENDED 1966-01-29, printed under a cover labelled 1965 - this row SUPERSEDES the date on B1's Q20 for the same digits (U.011); whole company, NOT Target  COLLISION 2026-09-26: B1 emitted the same fact at line 275; one row kept, the aliased emission's wording is retained below, nothing re-valued.  MERGE[186166671 <- B1 source: S4201 L169 and L822 with the 1964 comparative 162773739 printed in the same line]  MERGE[186166671 <- B1 notes: CONTEMPORANEOUS; whole company NOT Target; the FY1966 figure 189,776,071 is net sales AND rentals, a different denominator]  COR-01 the layer labelled FY1965 reports the fiscal year ENDED 1966-01-29; a bare year in a date cell is a FISCAL year, never a calendar year."
Target,stage1,1966-01-29,parent_net_income,7128981,USD,S4201 Statement of Income and EARNINGS note,1966,FACT,High,"7,128,981 / 5,435,205 = 1.3116, i.e. the printed 31 percent gain foots","printed as a 31 percent gain over 5,435,205  COLLISION 2026-09-26: p1 emitted the same fact at line 792; one row kept, the aliased emission's wording is retained below, nothing re-valued.  MERGE[7128981 <- p1 date: 1965]  MERGE[7128981 <- p1 source: S4201 L172-173]  MERGE[7128981 <- p1 evidence_class: FACT as printed; DERIVED as a check]  MERGE[7128981 <- p1 notes: CONTEMPORANEOUS; prior year is the fiscal year ended 1965-01-30]  COR-01 the layer labelled FY1965 reports the fiscal year ENDED 1966-01-29; a bare year in a date cell is a FISCAL year, never a calendar year."
Target,stage1,1965,target_unit_sales_growth_rate,44,percent over previous year,S4201 opening letter,1966,FACT that it was printed; base UNKNOWN,Medium,not_derived,"RATE ONLY - the FY1964 Target dollar base is printed nowhere (U.021); do not apply to Q21 (U.013)  COLLISION 2026-09-26: p1 emitted the same fact at line 793; one row kept, the aliased emission's wording is retained below, nothing re-valued.  MERGE[44 percent <- p1 source: S4201 L179-181]  MERGE[44 percent <- p1 evidence_class: FOUNDER-CLAIM-adjacent corporate claim; the base dollars are unprinted]  MERGE[44 percent <- p1 notes: gains of 44 percent in sales and 100 percent in pre-tax profits in 1965 over the previous year; no held layer prints the Target-unit dollars behind either percent (null N4)]  PERIOD BASIS: CONTEMPORANEOUS (printed by the layer labelled 1965 for its own fiscal year 1965)  COR-01 the layer labelled FY1965 reports the fiscal year ENDED 1966-01-29; a bare year in a date cell is a FISCAL year, never a calendar year."
Target,stage1,1967-01-28,target_avg_retail_area_per_store,127000,square feet,S4202 same sentence,1967,ESTIMATE,Medium,"889,000 / 7 = 127,000 ; 889,000 total retail area / 7 stores = 127,000","DERIVED within one sentence, one basis, one year; NOT to be joined to any other year's count  COLLISION 2026-09-26: p1 emitted the same fact at line 794; one row kept, the aliased emission's wording is retained below, nothing re-valued.  MERGE[127000 sq ft <- p1 date: 1966]  MERGE[127000 sq ft <- p1 metric: target_store_average_retail_area]  MERGE[127000 sq ft <- p1 source: S4202 L219]  MERGE[127000 sq ft <- p1 notes: DERIVED and printed nowhere; the same layer prints 146,000 sq ft for each of the two new Denver units, so the average hides an estate range; UNVERIFIED TLS]  PERIOD BASIS: CONTEMPORANEOUS (printed by the layer labelled 1966 for its own fiscal year 1966)  COR-01 the layer labelled FY1965 reports the fiscal year ENDED 1966-01-29; a bare year in a date cell is a FISCAL year, never a calendar year.  COR-06 column-drift repair at merge: this row arrived with 14 fields for a 12-column header; the unquoted thousands/place commas inside the derived_arithmetic cell were re-joined at the printed split point. No value altered."
Target,stage1,1962,target_stores_opened_in_year,4,stores,S4201 chronology L725-738 (cross-check S4210 roster L4636-4641),1965,FACT,Medium,not_derived (value as printed; no arithmetic performed),"CONTEMPORANEOUS-as-1965 / RETROSPECTIVE-as-1962; the four are Roseville, Crystal, Duluth and Knollwood-St. Louis Park"
Target,stage1,1963,target_stores_in_operation,UNKNOWN,stores,no held layer prints a 1963 or 1964 Target opening,UNKNOWN,UNKNOWN,UNKNOWN,not_derived (value as printed; no arithmetic performed),"year-end counts printed nowhere held; both store lists jump 1962 to 1965, which is an absence in a list and not a statement  PERIOD BASIS: NOT APPLICABLE - no figure printed; the row records an absence in two lists of one lineage"
Target,stage1,1965,target_stores_in_operation,5,stores,S4201 L189 and L400-401,1965,FACT,High,not_derived (value as printed; no arithmetic performed),CONTEMPORANEOUS; four in the Minneapolis-St. Paul area plus one in Duluth
Target,stage1,1966,target_stores_in_operation,7,stores,S4202 L219,1966,FACT,Medium,not_derived (value as printed; no arithmetic performed),CONTEMPORANEOUS; the two Denver stores opened October 1966 (S4202 L355); UNVERIFIED TLS
Target,stage1,1967,target_stores_in_operation,9,stores,S4203 L180-182 with S4202 L217-218,1967,FACT,Medium,not_derived (value as printed; no arithmetic performed),CONTEMPORANEOUS; Fridley and West St. Paul opened in October and were profitable in the year of opening; UNVERIFIED TLS
Target,stage1,1968,target_stores_in_operation,11,stores,S4209 L564-565,1973,FACT,Medium,not_derived (value as printed; no arithmetic performed),"RESTATED - a 1973 report reciting 1968, i.e. company self-narrative recap; UNVERIFIED TLS"
Target,stage1,1969,target_stores_in_operation,17,stores,S4205 L540-544 added to the S4209 1968 base,1969,ESTIMATE,Low,11 (1968 recap base) + 6 opened in 1969 (2 Dallas + 2 Houston + 1 Colorado Springs + 1 St. Louis) = 17,DERIVED; cross-check: group stores 19 (S4209 L3995) less 2 hard-goods units = 17  PERIOD BASIS: RESTATED (derived across the FY1969 and FY1973 layers; no printed 1969 unit count)
Target,stage1,1970,target_stores_in_operation,24,stores,S4207 L816 and L831,1971,ESTIMATE,Low,30 at year-end 1971 minus 6 opened in 1971 = 24,"DERIVED; the FY1969 plan to raise its total to 24 is a plan not an actual; the group count 27 (S4209 L3995) is consistent  PERIOD BASIS: RESTATED (derived from the FY1971 report's own 1971 counts, not a printed 1970 figure)"
