source_id,stage,claim_supported,source_title,author_or_publication,source_type,primary_or_secondary,event_date,publication_date,access_date,url,archived_url,tier,evidence_class,confidence,independence_note,relevant_passage,notes
S4201,stage1,A01 A02 A03 B01 B03 B04 B05 C01 D01 E01 F01 F02 G01 H01 H02 ; B1-01 B1-02 B1-03 B1-04 B1-05 B1-07 B1-08 / Q1 Q2 / U.001 U.002,The Dayton Company Annual Report 1965 (OCR text layer),The Dayton Company,corporate stockholder report,primary,1962;1965,1965,2026-09-26,"archive.org item 01-target-archive, per-year DjVuTXT layer (exact URL in file sidecar)","sources/corporate_print/1965_dayton_hudson_djvu.txt (48,050 B; verified TLS)",1,CONTEMPORANEOUS for 1965 / RETROSPECTIVE for 1962,High,"one lineage; FY1973, FY1974 and FY1999 re-narrate the same self-account, which is version evidence not corroboration","The Company entered the discount merchandising field in 1962 with Target Stores, Inc., which now has five","SAME DOCUMENT as S4201 - merge keeps one source row and aliases. New passages established this session: L110-115 (George Draper Dayton dry-goods ancestry), L159-166 (first public annual report), L421-423 (11 percent leased, Applebaum's), L1417-1436 (parent officers incl. Bruce B. Dayton as President), L123 (Brookdale 1962 adjacency, see K17)  MERGE[S4201 <- B1S01 url: https://archive.org/download/01-target-archive/1965%20-%20Dayton%20Hudson%20Corp%20%28DH%29_djvu.txt]  MERGE[S4201 <- B1S01 archived_url: held locally: sources/corporate_print/1965_dayton_hudson_djvu.txt]  MERGE[S4201 <- B1S01 independence_note: one lineage; the FY1973 and FY1999 layers repeat the same self-account, which is one source not several]  MERGE[S4201 <- B1S01 notes: masthead in bytes reads THE DAYTON COMPANY @ ANNUAL REPORT 1965; the uploader label Dayton Hudson Corp (DH) is wrong for this year (U.003); 48050 B; verified TLS]  MERGE ID RESOLUTION 2026-09-26: global S4201 = dossier-local P1S01 + B1S01 (local ids retired; the map is in stage_1_index.md)."
S4202,stage1,A01 (year-end) E01 F01 G01 U.011 ; B1-06 / Q3 / U.001 ; P2-08 U.012,Dayton Company Annual Report 1966 (OCR text layer),The Dayton Company,corporate stockholder report,primary,1966,1966,2026-09-26,archive.org item 01-target-archive per-year DjVuTXT layer,"sources/corporate_print/1966_dayton_hudson_djvu.txt (43,364 B; UNVERIFIED TLS)",1,CONTEMPORANEOUS,Medium,officer list and estate list repeat S4201 - same lineage,"customers spend an average of more than $7.50 per visit, excluding groceries. This compares with an industry average of $5.05 || Total retail area of the seven Target stores now in operation is 889,000 square feet. || 'Total retail area of the seven Target stores now in operation is 889,000 square feet.'","TRANSPORT UNVERIFIED TLS so capped at Medium. Duplicate carrier of S4202. Also prints 146,000 sq ft Denver pair (L205), quarter-million items (L206), 889,000 sq ft across seven stores (L219), land sale 1,771,355 (L228)  MERGE[S4202 <- B1S02 url: archive.org item 01-target-archive per-year DjVuTXT layer (exact URL in file sidecar)]  MERGE[S4202 <- B1S02 archived_url: held locally: sources/corporate_print/1966_dayton_hudson_djvu.txt]  MERGE[S4202 <- B1S02 independence_note: officer list repeats S4201 - same lineage]  MERGE[S4202 <- B1S02 notes: TRANSPORT UNVERIFIED TLS so capped at Medium; 43364 B; body head at L184 reads The Dayton Company]  MERGE[S4202 <- P2S01 source_title: Q 'The Dayton Company' Annual Report 1966 (OCR text layer)]  MERGE[S4202 <- P2S01 event_date: 1966;1967]  MERGE[S4202 <- P2S01 independence_note: same lineage as S4201 - one source however many report years]  MERGE[S4202 <- P2S01 notes: 'TRANSPORT UNVERIFIED TLS so capped at Medium (U.028); 43364 B; fiscal year ended 1967-01-28 under a 1966 cover (U.011)']  MERGE ID RESOLUTION 2026-09-26: global S4202 = dossier-local P1S02 + B1S02 + P2S01 (local ids retired; the map is in stage_1_index.md).  COR-06 column-drift repair at merge: the folded emission P2S01 arrived with 19 fields for an 18-column header; the unquoted comma inside its relevant_passage (889,000 square feet) was re-joined at the printed split point before folding. No value altered."
S4203,stage1,B01 B02 D01 E01 G01 G02 ; B1-10 B1-11 / Q4 Q10 / U.001,Dayton Corporation Annual Report 1967 (OCR text layer),Dayton Corporation,corporate stockholder report,primary,1967,1967,2026-09-26,archive.org item 01-target-archive per-year DjVuTXT layer,"sources/corporate_print/1967_dayton_hudson_djvu.txt (45,200 B; UNVERIFIED TLS)",1,CONTEMPORANEOUS,Medium,first layer whose masthead reads Dayton Corporation; its unit dollars are a different denominator from its corporation capex,"JOHN F. GEISSE (L1952) / Senior Vice President and General Merchandise Manager || Target sales were $86,901,007, an in-crease of 43 percent","TRANSPORT UNVERIFIED TLS. Duplicate carrier of S4203. New passages: L177-182 Denver first full year and October openings, L189-192 capex $10,705,548 and 3,628,600 sq ft, L1197 year ended January 28 1967  MERGE[S4203 <- B1S03 url: archive.org item 01-target-archive per-year DjVuTXT layer (exact URL in file sidecar)]  MERGE[S4203 <- B1S03 archived_url: held locally: sources/corporate_print/1967_dayton_hudson_djvu.txt]  MERGE[S4203 <- B1S03 independence_note: unit and group denominators come from two reports of one lineage]  MERGE[S4203 <- B1S03 notes: TRANSPORT UNVERIFIED TLS; first layer whose masthead reads Dayton Corporation (L1-2); 45200 B]  MERGE ID RESOLUTION 2026-09-26: global S4203 = dossier-local P1S03 + B1S03 (local ids retired; the map is in stage_1_index.md)."
S4204,stage1,Q12 Q13 / timeline-1968,Dayton Corporation Annual Report 1968 (OCR text layer),Dayton Corporation,corporate stockholder report,primary,1968,1968,2026-09-25,archive.org item 01-target-archive per-year DjVuTXT layer (exact URL in file sidecar),held locally: sources/corporate_print/1968_dayton_hudson_djvu.txt,1,CONTEMPORANEOUS,High,"group revenue reprinted in S4205 and S4208 recap columns - one source, not three","Goods Stores 189,515,025 44 141,824,116 38 33.6",verified TLS (probe-fetched); group heading DISCOUNT AND HARD GOODS STORES at L684  MERGE ID RESOLUTION 2026-09-26: global S4204 = dossier-local B1S04 (local ids retired; the map is in stage_1_index.md).
S4205,stage1,Q6 Q15 / U.010 / NYSE listing,Dayton Hudson Corporation Annual Report 1969 (OCR text layer),Dayton Hudson Corporation,corporate stockholder report,primary,1969,1969,2026-09-25,archive.org item 01-target-archive per-year DjVuTXT layer (exact URL in file sidecar),held locally: sources/corporate_print/1969_dayton_hudson_djvu.txt,1,CONTEMPORANEOUS for 1969 / RESTATED for its 1968 column,High,first layer printed under the Dayton Hudson masthead,"Low Margin............. 233,532 189,515",verified TLS; table heads Revenues (00s) and Group 1969 1968 at L998-1000; the 1969 column foots to total revenues 888  MERGE ID RESOLUTION 2026-09-26: global S4205 = dossier-local B1S05 (local ids retired; the map is in stage_1_index.md).
S4206,stage1,B05 G02 U.011 ; B1-12 / Q7 Q20,Dayton Hudson Corporation Annual Report 1970 (OCR text layer),Dayton Hudson Corporation,corporate stockholder report,primary,1967;1970,1970,2026-09-26,archive.org item 01-target-archive per-year DjVuTXT layer,"sources/corporate_print/1970_dayton_hudson_djvu.txt (53,023 B on disk and in sidecar; verified TLS)",1,RESTATED for 1967; CONTEMPORANEOUS for 1970,High,a 1971-dated carrier reciting 1967 is one lineage; its store counts are corporation-level not Target-unit,"When the Corporation made its first public stock offering in late 1967, it had 23 stores in five states.","Duplicate carrier of S4206. Layer prints its own date line April 16, 1971 at L200 and Joseph L. Hudson, Jr / Bruce B.Dayton / K.N. Dayton at L203. Byte-count correction N6 applies  MERGE[S4206 <- B1S06 url: https://archive.org/download/01-target-archive/1970%20-%20Dayton%20Hudson%20Corp%20%28DH%29_djvu.txt]  MERGE[S4206 <- B1S06 archived_url: held locally: sources/corporate_print/1970_dayton_hudson_djvu.txt]  MERGE[S4206 <- B1S06 notes: verified TLS; on-disk and sidecar both 53023 B while the probe table printed 52736 (see N6); the layer also prints the date April 16, 1971 at L200]  MERGE ID RESOLUTION 2026-09-26: global S4206 = dossier-local P1S04 + B1S06 (local ids retired; the map is in stage_1_index.md).  COR-05 the probe table printed 52,736 B; disk and sidecar both print 53,023 B. The filed byte count wins; the probe figure is withdrawn."
S4207,stage1,Q7 Q8 / U.008,Dayton Hudson Corporation Annual Report 1971 (OCR text layer),Dayton Hudson Corporation,corporate stockholder report,primary,1971,1971,2026-09-25,archive.org item 01-target-archive per-year DjVuTXT layer (exact URL in file sidecar),held locally: sources/corporate_print/1971_dayton_hudson_djvu.txt,1,CONTEMPORANEOUS,Medium,its Five Year Comparisons rows lost every numeric column in OCR,At year,TRANSPORT UNVERIFIED TLS; also prints six openings in 1971 and a plan for 16 in 1972  MERGE ID RESOLUTION 2026-09-26: global S4207 = dossier-local B1S07 (local ids retired; the map is in stage_1_index.md).
S4208,stage1,Q9 Q14 Q18 / U.008 U.010,Dayton Hudson Corporation Annual Report 1972 (OCR text layer),Dayton Hudson Corporation,corporate stockholder report,primary,1972,1972,2026-09-25,archive.org item 01-target-archive per-year DjVuTXT layer (exact URL in file sidecar),held locally: sources/corporate_print/1972_dayton_hudson_djvu.txt,1,CONTEMPORANEOUS for 1972 / RESTATED for its 1968 five-year column,High,the recap column repeats the FY1968 group figure - same lineage,Target opened 16 new stores within a seven-month period,verified TLS; group revenues $440.4 and $345.8 at L1040  MERGE ID RESOLUTION 2026-09-26: global S4208 = dossier-local B1S08 (local ids retired; the map is in stage_1_index.md).
S4209,stage1,P2-10 U.012 ; Q5 Q16-Q19 / U.008 U.009,U 'Dayton Hudson Corporation' Annual Report 1973 five-year block (re-read this pass),Dayton Hudson Corporation,corporate stockholder report,primary,1969-1973,1974,2026-09-26,archive.org item 01-target-archive per-year DjVuTXT layer (exact URL in file sidecar),held locally: sources/corporate_print/1973_dayton_hudson_djvu.txt,1,RESTATED 1969-1972 / CONTEMPORANEOUS 1973,Medium,same lineage as S4208/S4209 - one source,"'Number of stores 50 50 34 27 19' and 'Total square feet (thousands) 5,563 5,518 4,220 3,516 2,390' || Target has grown from 11 stores to 46 stores in five years",duplicate of S4209 at merge; the row foots to itself in all five columns (section K.3); UNVERIFIED TLS  MERGE[S4209 <- B1S09 source_title: Dayton Hudson Corporation Annual Report 1973 (OCR text layer)]  MERGE[S4209 <- B1S09 evidence_class: RESTATED for 1969-1972 / CONTEMPORANEOUS for 1973]  MERGE[S4209 <- B1S09 independence_note: only layer in the run whose five-year low-margin row survives OCR intact]  MERGE[S4209 <- B1S09 notes: TRANSPORT UNVERIFIED TLS; Five Year Comparisons at L3970-3997; the store roster prints Target (1961)*]  MERGE ID RESOLUTION 2026-09-26: global S4209 = dossier-local P2S08 + B1S09 (local ids retired; the map is in stage_1_index.md).  COR-06 column-drift repair at merge: this row arrived with 23 fields for a 18-column header; the unquoted thousands/place commas inside the relevant_passage cell were re-joined at the printed split point. No value altered.
S4210,stage1,Q1-Q9 cross-check / U.008 U.009,Dayton Hudson Corporation Annual Report 1974 (OCR text layer),Dayton Hudson Corporation,corporate stockholder report,primary,1962-1973,1974,2026-09-25,archive.org item 01-target-archive per-year DjVuTXT layer (exact URL in file sidecar),held locally: sources/corporate_print/1974_dayton_hudson_djvu.txt,1,RESTATED (retrospective store roster),Medium,a roster of the estate still operating in 1974; one source however many later reports reprint it,Roseville,TRANSPORT UNVERIFIED TLS; the roster heading Target (1967)* contradicts S4209 Target (1961)* (U.009)  MERGE ID RESOLUTION 2026-09-26: global S4210 = dossier-local B1S10 (local ids retired; the map is in stage_1_index.md).
