company,stage,date_or_range,event,actors,location,source_id,evidence_class,confidence,conflict_ref,notes
Target,stage1,1966,The company states it is moving beyond a privately-owned operation by issuing its first public annual report,The Dayton Company,Minneapolis,S4201,FACT,High,U.017,"disclosure decision; distinct from the first public stock offering of late 1967 printed by S4206  COLLISION 2026-09-26: volume 1 line 809 narrated the same disclosure event; one row kept, its wording retained below.  MERGE[first public annual report <- P1S01 date_or_range: 1965-1966]  MERGE[first public annual report <- P1S01 event: The Dayton Company issues its first public annual report and states that projected growth requires it to expand beyond private ownership]  MERGE[first public annual report <- P1S01 location: Minneapolis, Minnesota]  MERGE[first public annual report <- P1S01 conflict_ref: U.011]  MERGE[first public annual report <- P1S01 notes: the disclosure event that creates the whole founding-decade archive; report label 1965, year ended 1966-01-29]"
Target,stage1,1962,"The Dayton Company enters discount merchandising through Target Stores, Inc.",The Dayton Company and Target Stores Inc,Minneapolis-St. Paul area,S4201,FACT,High,None,stage-1 origin event; narrated in the first person plural by the entity that did it
Target,stage1,1962-early,First Target store opens,"Target Stores, Inc.","Roseville, Minnesota, a suburb north of St. Paul",S4201,FACT,High,U.002,phrase in bytes is early in 1962; month and day UNKNOWN in all eleven layers (N7)
Target,stage1,1965,"Bloomington store opens, bringing Target stores to five (four Twin Cities, one Duluth)","Target Stores, Inc.","Bloomington, Minnesota",S4201,FACT,High,None,CONTEMPORANEOUS count
Target,stage1,1965,"Parent prints subsidiary officers: Douglas J. Dayton President and John Geisse Vice President of Target Stores, Inc.",The Dayton Company,Minneapolis,S4201,FACT,High,U.001,held Tier-1 carrier for both U.001 sides but for ROLES only; neither line says founder
Target,stage1,1966-10,Two Denver stores open as the first Target units outside the Upper Midwest,"Target Stores, Inc.","Denver, Colorado",S4202,FACT,Medium,None,scheduled for Fall 1966 in S4201 L190-192; UNVERIFIED TLS
Target,stage1,1967-10,Fridley and West St. Paul open as Target stores numbers eight and nine,"Target Stores, Inc.","Twin Cities, Minnesota",S4203,FACT,Medium,None,both operated at a profit in the year of opening after absorbing pre-opening expenses; UNVERIFIED TLS
Target,stage1,1967-late,Corporation first public stock offering with 23 stores in five states,Dayton Corporation,UNKNOWN,S4206,FACT,High,None,month UNKNOWN; printed in the FY1970 Operating Review rather than in a 1967 layer
Target,stage1,1968,Two new Target stores open in St. Louis and Target ends the year with eleven stores,"Target Stores, Inc.","St. Louis, Missouri",S4204,FACT,High,None,openings CONTEMPORANEOUS (S4204 L688) but the eleven-store total is a 1973 recap (S4209 L565)
Target,stage1,1969-07-15,First public DEBT offering of $25 million sinking fund debentures due 1994 priced to yield 7.80 percent,Dayton Hudson Corporation,UNKNOWN,S4205,FACT,High,None,a different instrument from the 1967 stock offering; do not merge the two
Target,stage1,1969-09-08,Common stock listed on the New York Stock Exchange the same day a new corporate symbol is unveiled,Dayton Hudson Corporation,New York,S4205,FACT,High,None,dates the Dayton-Hudson leg by document rather than by uploader filename; the merger with The J. L. Hudson Company of Detroit is the same year (S4206 L228-229)
Target,stage1,1971,Six Target stores opened and Target closes 1971 with 30 stores in 11 markets,"Target Stores, Inc.","Dallas, St. Louis, Twin Cities, Des Moines, Fort Collins",S4207,FACT,Medium,U.008,UNVERIFIED TLS; the FY1974 roster enumerates only five 1971 openings (29 cumulative)
Target,stage1,1961-or-1967,Roster parenthetical year for the Target unit prints differently in consecutive reports,Dayton Hudson Corporation,UNKNOWN,S4209 and S4210,UNKNOWN,Medium,U.009,not usable as a date for anything and explicitly not used to move 1962
Target,stage1,1972,"Sixteen Target stores opened in seven months; year ends with 46 stores in nine states while group pretax falls to $9,222,000 from $13,749,000",Target Stores Inc and Dayton Hudson Corporation,nine states,S4208,FACT,High,None,the earnings decline is attributed in print to Target performance and start-up costs
Target,stage1,1962,Dayton Development Company opens Brookdale shopping center in a northern suburb of Minneapolis - the same year and the same page range as the Target entry sentence,Dayton Development Company,"Brooklyn Center, Minnesota",S4201,FACT,High,K17,"MIS-CITATION TRAP: L122-123 sits one line above L124 and is NOT a Target opening; Roseville is separately printed as a suburb north of St. Paul at L397-398  COR-03 (mis-citation trap: Brookdale is the development arm's centre, never a Target opening)."
Target,stage1,1971-04-16,The FY1970 report carries its own printed date line and recites the late-1967 first public stock offering,Dayton Hudson Corporation,UNKNOWN,S4206,RESTATED,High,None,"a 1971-dated carrier for a 1967 and a 1970 fact; RESTATED, so it is version evidence and never corroboration"
Target,stage1,1975-12-31,The FY1975 report prints a 31-December year-end against late-January or early-February year-ends in FY1965-FY1974,Dayton Hudson Corporation,UNKNOWN,S4201,FACT,Medium,U.011,basis migration inside the stage window; any FY1974 to FY1975 series changes denominator and must say so; read at probe level in the FY1974 and FY1975 layers  COR-01 (year basis re-based; see CORRECTIONS.md).
Target,stage1,1962,"Four Target units carry opening year 1962 in the company's own chronology spread: Roseville, Crystal, Duluth and Knollwood St.Louis Park",Target Stores Inc and The Dayton Company,"Roseville, Crystal, Duluth, Knollwood St.Louis Park, Minnesota",S4201,RETROSPECTIVE INTERPRETATION at three years' remove,Medium,U.002 U.015,place names transcribed AS PRINTED including ST.LOUIS PARK with no space; the FY1974 roster agrees with the pairing (PB)  COR-06 column-drift repair at merge: this row arrived with 13 fields for a 11-column header; the unquoted thousands/place commas inside the event cell were re-joined at the printed split point. No value altered.
Target,stage1,1965,fiscal year of the layer labelled 1965 ends 1966-01-29 and the same column is labelled 1966 in the notes,The Dayton Company,Minneapolis,S4201,FACT,High,U.011,this row is the re-basing key for the whole Q-series; refutes the inherited assumption that fiscal equals calendar  COR-01 (year basis re-based; see CORRECTIONS.md).
Target,stage1,1966-01-15,Dayton Credit Company commences operations and prints a two-week operating loss,The Dayton Company,Minneapolis,S4201,FACT,High,None,earliest calendar-exact operating date anywhere in the held corpus
Target,stage1,1966-02,Annual meeting approves a ten-for-one stock split; a 100 percent stock dividend is declared the same month,The Dayton Company shareholders,Minneapolis,S4201,FACT,High,None,"transfer of 1,535,500 from retained earnings to Common Stock in March 1966  COR-06 column-drift repair at merge: this row arrived with 13 fields for a 11-column header; the unquoted thousands/place commas inside the notes cell were re-joined at the printed split point. No value altered."
Target,stage1,1967-01-28,"Seven Target stores in operation with a stated total retail area of 889,000 square feet",Target Stores Inc,Denver Colo and Minnesota,S4202,FACT,Medium,U.012,period end 1967-01-28 under a 1966 cover (U.011); UNVERIFIED TLS (U.028)  COR-06 column-drift repair at merge: this row arrived with 12 fields for a 11-column header; the unquoted thousands/place commas inside the event cell were re-joined at the printed split point. No value altered.
Target,stage1,1973-12-31,The only intact five-year low-margin row in the run prints revenue stores square footage and sales per square foot for 1969-1973,Dayton Hudson Corporation,Minneapolis,S4209,RESTATED 1969-1972 / CONTEMPORANEOUS 1973,Medium,U.010 U.010 U.013,(PB); the row foots to itself in all five columns
Target,stage1,1974,The estate roster prints the Target unit as (1967) under Stephen L. Pistner as President with a per-store area column,Dayton Hudson Corporation,Minneapolis,S4210,RESTATED roster,Medium,U.008 U.009 U.009 U.012,"(PB); the 1962 rows carry areas 68/96/96/106 which do not foot to the FY1966 total of 889,000  COR-06 column-drift repair at merge: this row arrived with 12 fields for a 11-column header; the unquoted thousands/place commas inside the notes cell were re-joined at the printed split point. No value altered."
