tag,unit,start,end,value,fy,fp,form,fyEnd,frame,accn
Assets,USD,,2010-12-31,386082000,2011,Q2,10-Q,,,0001193125-11-221497
Assets,USD,,2010-12-31,386082000,2011,Q3,10-Q,,,0001193125-11-308489
Assets,USD,,2010-12-31,386082000,2011,FY,10-K,,,0001193125-12-081990
Assets,USD,,2010-12-31,386082000,2011,FY,10-K/A,,CY2010Q4I,0001193125-12-137560
Assets,USD,,2011-06-30,646155000,2011,Q2,10-Q,,CY2011Q2I,0001193125-11-221497
Assets,USD,,2011-09-30,700250000,2011,Q3,10-Q,,CY2011Q3I,0001193125-11-308489
Assets,USD,,2011-12-31,713448000,2011,FY,10-K,,,0001193125-12-081990
Assets,USD,,2011-12-31,713448000,2011,FY,10-K/A,,,0001193125-12-137560
Assets,USD,,2011-12-31,713448000,2012,Q1,10-Q,,,0001193125-12-225825
Assets,USD,,2011-12-31,713448000,2012,Q2,10-Q,,,0001193125-12-332138
Assets,USD,,2011-12-31,713448000,2012,Q3,10-Q,,,0001193125-12-457610
Assets,USD,,2011-12-31,713448000,2012,FY,10-K,,CY2011Q4I,0001193125-13-096241
Assets,USD,,2012-03-31,761100000,2012,Q1,10-Q,,CY2012Q1I,0001193125-12-225825
Assets,USD,,2012-06-30,776869000,2012,Q2,10-Q,,CY2012Q2I,0001193125-12-332138
Assets,USD,,2012-09-30,809177000,2012,Q3,10-Q,,CY2012Q3I,0001193125-12-457610
Assets,USD,,2012-12-31,1114190000,2012,FY,10-K,,,0001193125-13-096241
Assets,USD,,2012-12-31,1114190000,2013,Q1,10-Q,,,0001193125-13-212354
Assets,USD,,2012-12-31,1114190000,2013,Q2,10-Q,,,0001193125-13-327916
Assets,USD,,2012-12-31,1114190000,2013,Q3,10-Q,,,0001193125-13-435480
Assets,USD,,2012-12-31,1114190000,2013,FY,10-K,,CY2012Q4I,0001193125-14-069681
CommonStockSharesOutstanding,shares,,2010-12-31,94908370,2011,Q2,10-Q,,,0001193125-11-221497
CommonStockSharesOutstanding,shares,,2010-12-31,94908370,2011,Q3,10-Q,,,0001193125-11-308489
CommonStockSharesOutstanding,shares,,2010-12-31,94908370,2011,FY,10-K,,,0001193125-12-081990
CommonStockSharesOutstanding,shares,,2010-12-31,94908370,2011,FY,10-K/A,,CY2010Q4I,0001193125-12-137560
CommonStockSharesOutstanding,shares,,2011-06-30,103980989,2011,Q2,10-Q,,CY2011Q2I,0001193125-11-221497
CommonStockSharesOutstanding,shares,,2011-09-30,104188831,2011,Q3,10-Q,,CY2011Q3I,0001193125-11-308489
CommonStockSharesOutstanding,shares,,2011-12-31,104530305,2011,FY,10-K,,,0001193125-12-081990
CommonStockSharesOutstanding,shares,,2011-12-31,104530305,2011,FY,10-K/A,,,0001193125-12-137560
CommonStockSharesOutstanding,shares,,2011-12-31,104530305,2012,Q1,10-Q,,,0001193125-12-225825
CommonStockSharesOutstanding,shares,,2011-12-31,104530305,2012,Q2,10-Q,,,0001193125-12-332138
CommonStockSharesOutstanding,shares,,2011-12-31,104530305,2012,Q3,10-Q,,,0001193125-12-457610
CommonStockSharesOutstanding,shares,,2011-12-31,104530305,2012,FY,10-K,,CY2011Q4I,0001193125-13-096241
CommonStockSharesOutstanding,shares,,2012-03-31,105164770,2012,Q1,10-Q,,CY2012Q1I,0001193125-12-225825
CommonStockSharesOutstanding,shares,,2012-06-30,105323351,2012,Q2,10-Q,,CY2012Q2I,0001193125-12-332138
