accession,file,path,bytes,words,status,form,filingDate,url,listing
0001193125-10-017054,ds1.htm,sec\0001193125-10-017054_ds1.htm,2362163,138167,ok,S-1,2010-01-29,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510017054/ds1.htm,"listing via padded-cik/nodash-dir (90 items, 0 unnamed)"
0001193125-10-017054,dex1023.htm,sec\0001193125-10-017054_dex1023.htm,568385,27908,ok,S-1,2010-01-29,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510017054/dex1023.htm,"listing via padded-cik/nodash-dir (90 items, 0 unnamed)"
0001193125-10-017054,dex1022.htm,sec\0001193125-10-017054_dex1022.htm,470947,36220,ok,S-1,2010-01-29,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510017054/dex1022.htm,"listing via padded-cik/nodash-dir (90 items, 0 unnamed)"
0001193125-10-017054,dex1019.htm,sec\0001193125-10-017054_dex1019.htm,333067,27127,ok,S-1,2010-01-29,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510017054/dex1019.htm,"listing via padded-cik/nodash-dir (90 items, 0 unnamed)"
0001193125-10-068933,ds1a.htm,sec\0001193125-10-068933_ds1a.htm,2170026,137751,ok,S-1/A,2010-03-29,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510068933/ds1a.htm,"listing via padded-cik/nodash-dir (36 items, 0 unnamed)"
0001193125-10-068933,dex1030.htm,sec\0001193125-10-068933_dex1030.htm,306990,19260,ok,S-1/A,2010-03-29,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510068933/dex1030.htm,"listing via padded-cik/nodash-dir (36 items, 0 unnamed)"
0001193125-10-068933,dex1028.htm,sec\0001193125-10-068933_dex1028.htm,281681,19057,ok,S-1/A,2010-03-29,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510068933/dex1028.htm,"listing via padded-cik/nodash-dir (36 items, 0 unnamed)"
0001193125-10-068933,dex1029.htm,sec\0001193125-10-068933_dex1029.htm,280829,19120,ok,S-1/A,2010-03-29,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510068933/dex1029.htm,"listing via padded-cik/nodash-dir (36 items, 0 unnamed)"
0001193125-10-099603,ds1a.htm,sec\0001193125-10-099603_ds1a.htm,2189012,139980,ok,S-1/A,2010-04-29,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510099603/ds1a.htm,"listing via padded-cik/nodash-dir (15 items, 0 unnamed)"
0001193125-10-099603,filename13.htm,sec\0001193125-10-099603_filename13.htm,37579,2671,ok,S-1/A,2010-04-29,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510099603/filename13.htm,"listing via padded-cik/nodash-dir (15 items, 0 unnamed)"
0001193125-10-099603,dex51.htm,sec\0001193125-10-099603_dex51.htm,6457,580,ok,S-1/A,2010-04-29,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510099603/dex51.htm,"listing via padded-cik/nodash-dir (15 items, 0 unnamed)"
0001193125-10-099603,dex211.htm,sec\0001193125-10-099603_dex211.htm,2295,73,ok,S-1/A,2010-04-29,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510099603/dex211.htm,"listing via padded-cik/nodash-dir (15 items, 0 unnamed)"
0001193125-10-129878,ds1a.htm,sec\0001193125-10-129878_ds1a.htm,2735607,160276,ok,S-1/A,2010-05-27,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510129878/ds1a.htm,"listing via padded-cik/nodash-dir (44 items, 0 unnamed)"
0001193125-10-129878,dex1037.htm,sec\0001193125-10-129878_dex1037.htm,1571717,120561,ok,S-1/A,2010-05-27,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510129878/dex1037.htm,"listing via padded-cik/nodash-dir (44 items, 0 unnamed)"
0001193125-10-129878,dex1041.htm,sec\0001193125-10-129878_dex1041.htm,350124,27572,ok,S-1/A,2010-05-27,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510129878/dex1041.htm,"listing via padded-cik/nodash-dir (44 items, 0 unnamed)"
0001193125-10-129878,dex44.htm,sec\0001193125-10-129878_dex44.htm,227374,7648,ok,S-1/A,2010-05-27,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510129878/dex44.htm,"listing via padded-cik/nodash-dir (44 items, 0 unnamed)"
0000950130-10-002906,ds1a.htm,sec\0000950130-10-002906_ds1a.htm,2737734,160755,ok,S-1/A,2010-06-02,https://www.sec.gov/Archives/edgar/data/0001318605/000095013010002906/ds1a.htm,"listing via padded-cik/nodash-dir (12 items, 0 unnamed)"
0000950130-10-002906,dex231.htm,sec\0000950130-10-002906_dex231.htm,1639,99,ok,S-1/A,2010-06-02,https://www.sec.gov/Archives/edgar/data/0001318605/000095013010002906/dex231.htm,"listing via padded-cik/nodash-dir (12 items, 0 unnamed)"
0000950130-10-002906,0000950130-10-002906.txt,sec\0000950130-10-002906_0000950130-10-002906.txt,4637571,189974,ok,S-1/A,2010-06-02,https://www.sec.gov/Archives/edgar/data/0001318605/000095013010002906/0000950130-10-002906.txt,"listing via padded-cik/nodash-dir (12 items, 0 unnamed)"
0001193125-10-139143,ds1a.htm,sec\0001193125-10-139143_ds1a.htm,2820252,164374,ok,S-1/A,2010-06-15,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510139143/ds1a.htm,"listing via padded-cik/nodash-dir (17 items, 0 unnamed)"
0001193125-10-139143,dex11.htm,sec\0001193125-10-139143_dex11.htm,144744,16360,ok,S-1/A,2010-06-15,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510139143/dex11.htm,"listing via padded-cik/nodash-dir (17 items, 0 unnamed)"
0001193125-10-139143,dex42c.htm,sec\0001193125-10-139143_dex42c.htm,59486,3550,ok,S-1/A,2010-06-15,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510139143/dex42c.htm,"listing via padded-cik/nodash-dir (17 items, 0 unnamed)"
0001193125-10-139143,dex101.htm,sec\0001193125-10-139143_dex101.htm,47799,4895,ok,S-1/A,2010-06-15,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510139143/dex101.htm,"listing via padded-cik/nodash-dir (17 items, 0 unnamed)"
0001193125-10-148468,ds1a.htm,sec\0001193125-10-148468_ds1a.htm,129528,5468,ok,S-1/A,2010-06-28,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510148468/ds1a.htm,"listing via padded-cik/nodash-dir (5 items, 0 unnamed)"
0001193125-10-148468,dex51.htm,sec\0001193125-10-148468_dex51.htm,6487,578,ok,S-1/A,2010-06-28,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510148468/dex51.htm,"listing via padded-cik/nodash-dir (5 items, 0 unnamed)"
